PaymentID,OrderID,PaymentMethod,PaymentStatus,PaymentDate,PaidAmount
213,213,Credit Card,Pending,2023-11-07,2846.91
214,214,Debit Card,Success,2025-10-09,66333.61
215,215,Net Banking,Failed,2024-12-30,7660.89
216,216,Credit Card,Success,2026-08-29,65022.29
217,217,Debit Card,Success,2023-04-16,37879.22
218,218,Net Banking,Success,2023-06-28,44958.96
219,219,Net Banking,Success,2023-05-24,65334.68
220,220,UPI,Success,2026-05-12,33945.73
221,221,Debit Card,Success,2023-01-13,9706.2
222,222,Debit Card,Success,2026-05-23,52126.08
223,223,Net Banking,Success,2023-09-05,22574.55
224,224,Debit Card,Success,2026-09-05,73504.82
225,225,UPI,Success,2025-10-27,61697.12
226,226,UPI,Success,2025-09-12,73561.94
227,227,Credit Card,Success,2025-11-04,32625.16
228,228,Cash,Success,2025-12-09,15883.77
229,229,Credit Card,Success,2026-07-27,39101.86
230,230,Net Banking,Success,2025-05-13,40811.26
231,231,Credit Card,Success,2026-02-13,43530.65
232,232,Cash,Success,2025-04-02,27395.64
233,233,Cash,Success,2026-08-21,7421.86
234,234,Debit Card,Success,2024-01-25,28285.68
235,235,UPI,Success,2023-09-02,38422.44
236,236,Debit Card,Success,2023-11-23,26363.73
237,237,UPI,Success,2023-06-07,60751.15
238,238,Cash,Success,2025-02-22,68507.04
239,239,Credit Card,Failed,2025-02-26,18235.13
240,240,Net Banking,Success,2026-03-23,35310.55
241,241,UPI,Success,2025-02-12,68151.46
242,242,Net Banking,Success,2024-03-30,39873.6
243,243,Net Banking,Success,2024-03-09,57338.38
244,244,Net Banking,Success,2026-08-19,18941.4
245,245,Net Banking,Success,2023-08-10,605.72
246,246,Cash,Success,2025-02-02,50438.52
247,247,Cash,Success,2024-08-18,44530.1
248,248,Cash,Success,2025-11-05,4410.49
249,249,Credit Card,Success,2026-06-24,69471.62
250,250,Credit Card,Success,2025-04-27,40397.42
251,251,Debit Card,Success,2026-01-08,32940.71
252,252,Debit Card,Success,2024-02-08,52503.46
253,253,UPI,Success,2026-09-04,45624.12
254,254,Credit Card,Success,2024-08-22,51250.74
255,255,Debit Card,Success,2026-04-11,11623.04
256,256,Net Banking,Success,2023-11-06,35496.18
257,257,Debit Card,Success,2023-06-20,31556.56
258,258,Cash,Success,2026-11-05,53577.47
259,259,Credit Card,Success,2025-07-10,57503.77
260,260,Debit Card,Failed,2025-01-15,11057.15
261,261,Credit Card,Success,2023-01-17,9299.6
262,262,Debit Card,Success,2025-09-01,42519.49
263,263,Net Banking,Success,2025-11-04,32485.04
264,264,UPI,Success,2025-08-06,45326.11
265,265,Cash,Success,2025-08-08,9744.01
266,266,Credit Card,Pending,2025-10-23,66797.15
267,267,Debit Card,Success,2025-04-19,21012.46
268,268,Net Banking,Success,2024-02-01,55192.12
269,269,UPI,Success,2025-07-16,68327.3
270,270,Credit Card,Success,2024-09-18,14353.98
271,271,Debit Card,Success,2025-05-10,1232.8
272,272,Credit Card,Pending,2023-05-02,53025.19
273,273,Cash,Failed,2023-08-20,35304.49
274,274,UPI,Success,2026-10-11,18864.37
275,275,Net Banking,Pending,2023-04-08,51089.05
276,276,Cash,Success,2024-10-03,26317.67
277,277,Cash,Failed,2025-08-21,47409.28
278,278,Cash,Success,2023-09-14,43774.42
279,279,Credit Card,Success,2026-05-21,31976.61
280,280,Credit Card,Success,2024-10-29,33893.43
281,281,Net Banking,Success,2024-04-09,2081.41
282,282,UPI,Success,2023-02-01,30939.49
283,283,Credit Card,Success,2023-10-17,28280.34
284,284,Net Banking,Success,2024-12-14,2526.24
285,285,Debit Card,Success,2026-05-05,40050.61
286,286,Credit Card,Success,2023-07-09,64243.07
287,287,Net Banking,Success,2023-03-23,55648.48
288,288,Debit Card,Success,2024-12-03,46818.82
289,289,UPI,Pending,2023-01-04,8854.5
290,290,Credit Card,Failed,2024-11-20,71465.28
291,291,Cash,Success,2024-10-19,4968.66
292,292,Credit Card,Failed,2025-08-06,41228.68
293,293,Credit Card,Success,2026-06-08,55170.78
294,294,Debit Card,Success,2024-01-11,39992.16
295,295,Net Banking,Success,2024-10-29,44383.33
296,296,Net Banking,Success,2024-09-26,7924.64
297,297,Net Banking,Success,2024-08-31,18436.14
298,298,Cash,Success,2025-10-07,6806.42
299,299,UPI,Success,2024-03-09,30376.55
300,300,UPI,Success,2024-01-09,67932.21
301,301,Cash,Success,2026-09-15,20612.19
302,302,Net Banking,Success,2025-08-30,40797.18
303,303,UPI,Success,2025-08-02,70007.89
304,304,UPI,Success,2026-09-21,29020.26
305,305,Debit Card,Success,2024-02-01,5325.02
306,306,UPI,Success,2024-04-19,17584.58
307,307,Cash,Success,2024-12-19,30292.52
308,308,UPI,Success,2025-05-11,16006.55
309,309,Net Banking,Failed,2024-01-15,43961.63
310,310,Net Banking,Success,2025-04-14,12055.64
311,311,UPI,Success,2026-07-08,35628.86
312,312,Debit Card,Success,2026-12-15,60161.7
313,313,UPI,Success,2025-01-31,56155.09
314,314,Credit Card,Success,2025-06-05,48724.44
315,315,Debit Card,Success,2023-07-04,32068.89
316,316,Cash,Success,2024-02-12,73490.85
317,317,Cash,Success,2025-11-30,14231.14
318,318,Cash,Success,2025-07-13,48907.62
319,319,Debit Card,Failed,2024-09-08,65032.39
320,320,Credit Card,Success,2025-07-10,34039.3
321,321,Net Banking,Success,2026-05-22,71535.98
322,322,Debit Card,Success,2026-02-09,53672.66
323,323,Debit Card,Success,2026-04-04,61469.02
324,324,Net Banking,Success,2024-02-06,6682.49
325,325,UPI,Success,2026-03-20,45440.3
326,326,Credit Card,Success,2024-04-22,6459.55
327,327,Net Banking,Success,2026-02-06,19833.41
328,328,Debit Card,Success,2026-06-12,50705.62
329,329,Credit Card,Success,2023-04-06,3457.86
330,330,Cash,Success,2026-11-09,31495.3
331,331,Debit Card,Success,2024-05-27,65344.32
332,332,UPI,Success,2026-07-31,34211.98
333,333,UPI,Success,2023-02-25,34326.24
334,334,Cash,Success,2026-02-27,1111.5
335,335,Net Banking,Success,2026-09-18,69349.63
336,336,Debit Card,Success,2024-07-22,44945.28
337,337,Net Banking,Pending,2023-09-27,73990.13
338,338,Debit Card,Success,2024-07-11,28480.02
339,339,Cash,Success,2026-10-08,18994.02
340,340,Net Banking,Success,2024-05-25,23272.13
341,341,Net Banking,Success,2023-12-25,63415.81
342,342,Cash,Success,2023-06-14,20790.04
343,343,UPI,Success,2026-03-09,58965.86
344,344,Net Banking,Success,2025-03-01,61480.04
345,345,Net Banking,Success,2023-01-29,4415.96
346,346,Debit Card,Success,2026-05-05,29227.09
347,347,Net Banking,Success,2025-10-27,567.64
348,348,Credit Card,Success,2026-06-20,23426.63
349,349,Cash,Success,2024-12-01,21329.99
350,350,Cash,Success,2025-07-11,66172.74
351,351,UPI,Success,2024-05-01,49532.72
352,352,Credit Card,Success,2023-12-08,52056.62
353,353,Debit Card,Success,2023-05-08,67213.25
354,354,UPI,Success,2024-07-22,49681.29
355,355,Credit Card,Success,2026-11-17,69296.67
356,356,Debit Card,Success,2023-12-21,59807.28
357,357,Credit Card,Success,2026-01-01,36009.09
358,358,Net Banking,Success,2025-11-28,1322.71
359,359,UPI,Success,2026-08-23,12027.44
360,360,Credit Card,Pending,2024-09-13,31668.61
361,361,Cash,Success,2026-10-18,14111.49
362,362,Cash,Success,2025-04-30,59584.5
363,363,Cash,Success,2026-05-21,61206.59
364,364,Cash,Success,2024-03-21,43700.43
365,365,Credit Card,Failed,2025-12-20,67287.27
366,366,Credit Card,Success,2024-06-09,6751.98
367,367,UPI,Success,2026-09-22,65473.31
368,368,Credit Card,Success,2024-03-21,62320.73
369,369,Net Banking,Success,2025-11-06,48607.85
370,370,Credit Card,Success,2024-07-13,16830.32
371,371,Debit Card,Success,2025-01-30,68680.45
372,372,Debit Card,Failed,2025-01-12,45094.13
373,373,Debit Card,Success,2024-07-29,42060.26
374,374,Net Banking,Success,2024-06-09,50331.95
375,375,Net Banking,Success,2023-06-01,20061.44
376,376,Cash,Success,2024-12-07,17396.28
377,377,Cash,Success,2023-05-10,47234.75
378,378,UPI,Failed,2026-01-09,44212.51
379,379,Debit Card,Pending,2024-04-05,39582.87
380,380,Net Banking,Success,2024-10-07,11275.84
381,381,UPI,Success,2024-11-12,25285.56
382,382,UPI,Success,2025-05-13,29779.84
383,383,Net Banking,Success,2025-02-05,15964.53
384,384,Debit Card,Success,2024-08-26,64440.05
385,385,Cash,Success,2023-07-09,19733.12
386,386,UPI,Success,2023-09-21,29599.43
387,387,Net Banking,Pending,2023-08-16,20991.96
388,388,Net Banking,Success,2023-10-05,69453.31
389,389,UPI,Failed,2025-11-12,72236.9
390,390,Cash,Success,2025-10-20,66128.24
391,391,UPI,Failed,2024-06-08,29598.41
392,392,Debit Card,Success,2024-03-28,74452.72
393,393,Credit Card,Success,2024-07-27,37263.73
394,394,Debit Card,Success,2023-05-31,9758.87
395,395,Net Banking,Pending,2023-06-27,12166.7
396,396,Net Banking,Success,2026-08-07,36966.76
397,397,Cash,Success,2025-06-26,73959.2
398,398,Net Banking,Failed,2026-12-20,11210.47
399,399,Cash,Pending,2025-06-28,3644.11
400,400,Net Banking,Success,2026-08-09,54647.33
401,401,Net Banking,Success,2024-07-02,46529.34
402,402,Credit Card,Success,2023-09-01,35986.61
403,403,UPI,Success,2024-04-04,37018.64
404,404,Debit Card,Failed,2024-02-23,44853.18
405,405,Credit Card,Pending,2024-06-17,68982.99
406,406,Net Banking,Success,2023-03-04,33561.82
407,407,Debit Card,Success,2023-08-04,35225.66
408,408,Debit Card,Success,2023-05-18,24050.38
409,409,Net Banking,Success,2024-12-26,59888.89
410,410,Credit Card,Success,2024-11-30,26365.4
411,411,Debit Card,Success,2026-10-18,9622.8
412,412,Cash,Success,2026-08-27,13675.33
413,413,Debit Card,Success,2023-12-23,7443.69
414,414,UPI,Success,2024-04-13,56019.45
415,415,Cash,Success,2025-12-05,64682.84
416,416,Cash,Pending,2023-06-27,42951.96
417,417,Cash,Success,2025-02-10,55134.95
418,418,UPI,Success,2025-08-16,6794.83
419,419,Cash,Success,2025-07-21,27079.95
420,420,Credit Card,Success,2023-04-13,61192.32
421,421,Net Banking,Success,2023-08-26,52445.92
422,422,Credit Card,Success,2025-02-21,68735.63
423,423,Net Banking,Success,2024-09-27,30034.99
424,424,Debit Card,Success,2025-02-27,73852.23
425,425,Debit Card,Success,2023-03-25,54144.5
426,426,Debit Card,Success,2026-08-05,48923.02
427,427,Credit Card,Success,2026-12-20,5156.85
428,428,Cash,Success,2023-09-07,29537.95
429,429,UPI,Success,2026-03-04,5741.54
430,430,Credit Card,Success,2025-04-27,26781.16
431,431,Cash,Success,2025-02-28,21068.61
432,432,Cash,Success,2023-07-16,54046.92
433,433,Debit Card,Success,2023-03-07,50526.69
434,434,Credit Card,Success,2024-05-22,47107.57
435,435,Debit Card,Success,2026-12-02,26328.76
436,436,Net Banking,Success,2025-03-31,57442.58
437,437,Cash,Success,2024-09-25,65266.21
438,438,UPI,Success,2026-11-25,23330.75
439,439,UPI,Success,2024-04-19,37335.39
440,440,Debit Card,Success,2024-09-07,10606.35
441,441,Debit Card,Success,2026-01-04,3502.72
442,442,Cash,Pending,2026-06-04,36451.23
443,443,Net Banking,Success,2025-02-01,11217.55
444,444,UPI,Success,2025-05-18,48769.88
445,445,Net Banking,Success,2023-04-18,67290.85
446,446,Cash,Success,2024-11-11,44118.15
447,447,Credit Card,Failed,2023-10-18,52318.92
448,448,Credit Card,Pending,2023-04-08,55766.33
449,449,Net Banking,Success,2024-05-15,73246.95
450,450,Debit Card,Pending,2023-12-18,55877.04
451,451,Debit Card,Success,2024-07-15,32319.68
452,452,Credit Card,Success,2024-12-07,66871.34
453,453,Credit Card,Success,2024-11-03,44906.79
454,454,UPI,Success,2024-07-31,11675.21
455,455,Cash,Pending,2026-04-03,72841.08
456,456,Debit Card,Success,2026-06-30,332.16
457,457,Net Banking,Success,2026-12-11,41739.08
458,458,Cash,Success,2026-08-27,54181.69
459,459,Debit Card,Success,2026-02-09,35174.64
460,460,UPI,Success,2026-12-04,9907.77
461,461,Credit Card,Success,2026-07-10,27818.25
462,462,Cash,Success,2025-12-26,8353.85
463,463,Net Banking,Success,2025-11-03,5795.95
464,464,Net Banking,Success,2026-08-23,38259.68
465,465,Cash,Success,2026-05-22,38477.18
466,466,Debit Card,Success,2023-09-02,1650.71
467,467,Cash,Success,2023-06-05,60379.64
468,468,Net Banking,Success,2024-10-07,40660.9
469,469,Credit Card,Success,2023-05-24,1373.68
470,470,Debit Card,Success,2026-04-08,46749.29
471,471,Cash,Success,2026-06-03,56163.96
472,472,Cash,Success,2026-09-20,71577.87
473,473,Credit Card,Success,2026-03-16,63806.03
474,474,Debit Card,Failed,2023-01-10,24437.23
475,475,Debit Card,Success,2024-02-07,74477.49
476,476,Credit Card,Failed,2024-10-26,73617.57
477,477,UPI,Success,2026-06-16,21071.36
478,478,Net Banking,Failed,2024-04-19,18938.71
479,479,Net Banking,Success,2024-11-05,20016.86
480,480,Debit Card,Success,2026-03-05,37959.99
481,481,Cash,Success,2024-09-07,64408.34
482,482,Cash,Failed,2023-11-21,72902.91
483,483,UPI,Success,2026-01-14,15610.82
484,484,Cash,Success,2023-01-06,27931.96
485,485,Debit Card,Success,2026-01-13,52769.83
486,486,UPI,Success,2024-10-20,41617.15
487,487,Cash,Success,2025-08-07,35513.52
488,488,Net Banking,Pending,2024-11-03,47218.15
489,489,Debit Card,Success,2024-05-15,56915.31
490,490,Cash,Pending,2023-03-16,14041.49
491,491,Cash,Success,2023-06-11,15535.56
492,492,UPI,Success,2023-06-18,58083.32
493,493,Debit Card,Success,2025-10-17,10252.58
494,494,UPI,Success,2023-05-23,67733.57
495,495,Cash,Failed,2024-12-11,69080.06
496,496,UPI,Success,2026-08-27,54912.42
497,497,Debit Card,Success,2025-01-15,74296.65
498,498,Credit Card,Success,2023-03-07,10023.91
499,499,Cash,Success,2023-12-01,71860.1
500,500,Cash,Success,2028-01-16,71008.99
501,501,Net Banking,Success,2028-01-15,28458.55
502,502,Net Banking,Pending,2024-05-14,38136.68
503,503,Credit Card,Success,2023-07-25,52488.27
504,504,Credit Card,Success,2023-08-28,31471.49
505,505,Net Banking,Success,2025-04-08,21019.93
506,506,Net Banking,Success,2023-09-01,50764.76
507,507,Debit Card,Success,2024-01-30,43444.99
508,508,Credit Card,Success,2023-07-10,9274.13
509,509,Cash,Success,2025-12-30,27420.46
510,510,Debit Card,Pending,2026-10-08,61008.97
511,511,Cash,Success,2024-11-30,38319.94
512,512,Cash,Success,2024-05-11,32839.55
513,513,Debit Card,Success,2026-11-24,68588.52
514,514,UPI,Failed,2023-07-19,65790.88
515,515,Debit Card,Success,2023-03-24,47630.98
516,516,Net Banking,Success,2026-01-26,28853.26
517,517,Cash,Success,2026-08-03,45581.22
518,518,UPI,Success,2026-02-17,13170.57
519,519,UPI,Success,2024-10-23,41074.39
520,520,UPI,Success,2026-05-06,62550.98
521,521,UPI,Success,2025-04-26,55650.7
522,522,UPI,Success,2024-08-13,60286.18
523,523,UPI,Success,2024-10-01,36822.39
524,524,Cash,Success,2023-05-31,42271.3
525,525,Cash,Success,2026-03-28,41392.39
526,526,Net Banking,Failed,2026-03-24,72690.68
527,527,Credit Card,Success,2023-05-24,60140.76
528,528,UPI,Success,2023-04-22,32879.4
529,529,Net Banking,Success,2024-04-13,47528.09
530,530,UPI,Success,2025-08-23,73716.3
531,531,Debit Card,Failed,2025-01-27,9253.48
532,532,Net Banking,Success,2023-03-01,23238.3
533,533,UPI,Success,2025-12-23,58667.79
534,534,Credit Card,Success,2024-04-02,34064.88
535,535,Credit Card,Success,2026-10-18,45686.45
536,536,Net Banking,Success,2024-01-19,43195.41
537,537,Net Banking,Success,2026-01-25,56331.97
538,538,Net Banking,Success,2023-02-26,33550.64
539,539,Cash,Failed,2026-09-05,30008.21
540,540,Credit Card,Success,2023-10-03,40203.57
541,541,Cash,Success,2024-12-21,16497.9
542,542,Cash,Success,2024-08-24,3272.89
543,543,Cash,Pending,2024-10-29,27238.33
544,544,UPI,Success,2026-07-12,56959.3
545,545,UPI,Success,2026-10-19,62233.35
546,546,UPI,Success,2023-02-10,28072.74
547,547,Net Banking,Success,2025-08-24,581.13
548,548,Credit Card,Success,2024-08-20,51946.89
549,549,Credit Card,Success,2023-09-21,67693.02
550,550,UPI,Success,2025-02-11,45805.48
551,551,Credit Card,Success,2026-02-09,2627.38
552,552,Debit Card,Success,2026-06-11,2259.26
553,553,UPI,Success,2023-06-15,49561.75
554,554,Credit Card,Success,2023-08-04,58112.76
555,555,Debit Card,Success,2025-05-20,68186.51
556,556,Credit Card,Success,2023-06-29,30857.17
557,557,Credit Card,Success,2025-01-14,26765.48
558,558,Debit Card,Success,2024-01-20,68595.81
559,559,Net Banking,Success,2025-02-20,3452.72
560,560,Debit Card,Success,2023-11-22,33103.79
561,561,Cash,Pending,2023-06-19,70996.22
562,562,Cash,Success,2026-09-25,49815.58
563,563,UPI,Success,2026-01-24,22946.43
564,564,Cash,Success,2023-07-25,41809.02
565,565,Net Banking,Success,2023-12-09,29458.95
566,566,Debit Card,Success,2025-07-06,5434.61
567,567,Debit Card,Success,2024-07-21,48185.12
568,568,Cash,Success,2025-03-22,72417.18
569,569,UPI,Success,2027-01-01,7721.82
570,570,Debit Card,Success,2024-03-23,66874.48
571,571,UPI,Success,2026-10-26,31223.31
572,572,Net Banking,Success,2026-12-26,64065.43
573,573,Debit Card,Success,2025-07-25,41923.78
