SupplierID,SupplierName,City,State,Rating,LeadTimeDays
73,Elite Imports 74,Ahmedabad,Telangana,3.7,10
74,Apex Distribution 75,Pune,Gujarat,4.2,9
75,BlueLine Supply 76,Hyderabad,Andhra Pradesh,3.2,19
76,Prime Supply 77,Bengaluru,Uttar Pradesh,4.8,16
77,TechSource 78,Hyderabad,Uttar Pradesh,4.6,3
78,TechSource 79,Mumbai,Gujarat,4.1,16
79,BlueLine Supply 80,Hyderabad,Gujarat,4.8,13
80,Apex Distribution 81,Kolkata,West Bengal,3.8,13
81,Prime Supply 82,Bengaluru,Andhra Pradesh,4.8,2
82,Elite Imports 83,Hyderabad,Kerala,4.8,5
83,Vertex Trading 84,Mumbai,Kerala,3.3,2
84,BlueLine Supply 85,Hyderabad,West Bengal,4.9,3
85,TechSource 86,Pune,Telangana,4.4,5
86,TechSource 87,Bengaluru,Andhra Pradesh,4.7,11
87,NextGen Wholesale 88,Hyderabad,Andhra Pradesh,3.9,13
88,Apex Distribution 89,Hyderabad,Gujarat,3.3,15
89,Global Distributors 90,Hyderabad,Karnataka,3.6,2
90,Global Distributors 91,Ahmedabad,West Bengal,4.0,6
91,Vertex Trading 92,Bengaluru,Karnataka,4.8,-4
92,BlueLine Supply 93,Delhi,Delhi,4.4,12
93,TechSource 94,Delhi,Tamil Nadu,4.8,7
94,Vertex Trading 95,Bengaluru,West Bengal,3.4,18
95,Apex Distribution 96,Mumbai,Kerala,4.2,12
96,BlueLine Supply 97,Hyderabad,Andhra Pradesh,4.2,9
97,NextGen Wholesale 98,Hyderabad,Delhi,5.0,18
98,Apex Distribution 99,Chennai,Tamil Nadu,4.4,14
99,BlueLine Supply 100,Ahmedabad,Maharashtra,5.0,10
100,Apex Distribution 101,Bengaluru,Maharashtra,4.5,16
101,Prime Supply 102,Ahmedabad,Delhi,4.2,20
102,Apex Distribution 103,Bengaluru,Kerala,3.5,15
103,Global Distributors 104,Chennai,Tamil Nadu,4.8,13
104,Vertex Trading 105,Kolkata,West Bengal,4.4,7
105,Elite Imports 106,Kolkata,Telangana,4.7,10
106,Apex Distribution 107,Bengaluru,Tamil Nadu,4.5,2
107,Global Distributors 108,Kolkata,West Bengal,4.5,20
108,BlueLine Supply 109,Delhi,Kerala,4.4,14
109,Vertex Trading 110,Ahmedabad,Gujarat,3.5,18
110,Elite Imports 111,Ahmedabad,Tamil Nadu,4.3,6
111,Apex Distribution 112,Kolkata,Gujarat,3.3,11
112,TechSource 113,Chennai,Andhra Pradesh,5.0,8
113,NextGen Wholesale 114,Ahmedabad,Tamil Nadu,4.5,11
114,Prime Supply 115,Delhi,Maharashtra,4.4,8
115,BlueLine Supply 116,Ahmedabad,Andhra Pradesh,4.5,15
116,Prime Supply 117,Mumbai,Maharashtra,4.3,18
117,Vertex Trading 118,Pune,Andhra Pradesh,4.9,6
118,Prime Supply 119,Delhi,Tamil Nadu,4.5,18
119,Vertex Trading 120,Hyderabad,Andhra Pradesh,3.5,11
120,Global Distributors 121,Pune,Karnataka,3.8,9
121,Apex Distribution 122,Chennai,Tamil Nadu,3.4,17
122,Apex Distribution 123,Kolkata,Telangana,4.2,10
123,TechSource 124,Bengaluru,Uttar Pradesh,4.5,13
124,NextGen Wholesale 125,Ahmedabad,Delhi,3.7,18
125,Vertex Trading 126,Pune,Karnataka,4.6,16
126,TechSource 127,Delhi,Uttar Pradesh,3.2,4
127,Global Distributors 128,Kolkata,Delhi,4.8,9
128,TechSource 129,Pune,Tamil Nadu,4.4,19
129,Global Distributors 130,Ahmedabad,Maharashtra,3.3,17
130,Vertex Trading 131,Bengaluru,Gujarat,3.9,16
131,Elite Imports 132,Bengaluru,Karnataka,4.1,13
132,Apex Distribution 133,Chennai,Gujarat,4.9,6
133,Prime Supply 134,Chennai,Delhi,4.5,12
134,Apex Distribution 135,Hyderabad,Telangana,4.6,16
135,BlueLine Supply 136,Delhi,Kerala,4.1,10
136,Vertex Trading 137,Pune,Karnataka,3.3,19
137,Prime Supply 138,Chennai,Telangana,4.0,16
138,Prime Supply 139,Delhi,Gujarat,4.8,12
139,Global Distributors 140,Bengaluru,Gujarat,4.8,17
140,Apex Distribution 141,Chennai,West Bengal,3.8,12
141,Elite Imports 142,Kolkata,Andhra Pradesh,3.6,2
142,Vertex Trading 143,Hyderabad,Kerala,4.7,6
143,TechSource 144,Hyderabad,Maharashtra,4.4,15
144,BlueLine Supply 145,Delhi,Delhi,4.9,3
145,NextGen Wholesale 146,Pune,Karnataka,4.0,10
146,Prime Supply 147,Hyderabad,Maharashtra,4.3,16
147,Vertex Trading 148,Pune,West Bengal,3.4,13
148,Vertex Trading 149,Kolkata,Telangana,4.5,19
149,Elite Imports 150,Delhi,Andhra Pradesh,3.6,9
150,Vertex Trading 151,Kolkata,Delhi,3.7,7
151,Vertex Trading 152,Delhi,Kerala,4.8,18
152,Vertex Trading 153,Mumbai,Uttar Pradesh,4.2,2
153,NextGen Wholesale 154,Hyderabad,Kerala,3.7,19
154,Vertex Trading 155,Kolkata,West Bengal,4.4,17
155,BlueLine Supply 156,Ahmedabad,Maharashtra,4.0,17
156,Vertex Trading 157,Ahmedabad,Kerala,4.1,10
157,NextGen Wholesale 158,Kolkata,Andhra Pradesh,3.4,2
158,Elite Imports 159,Bengaluru,Delhi,4.2,16
159,Vertex Trading 160,Chennai,Karnataka,4.9,14
160,Prime Supply 161,Bengaluru,Kerala,4.9,15
161,TechSource 162,Delhi,Telangana,3.5,18
162,Apex Distribution 163,Mumbai,West Bengal,3.9,4
163,NextGen Wholesale 164,Hyderabad,West Bengal,4.9,12
164,BlueLine Supply 165,Bengaluru,Maharashtra,3.5,19
165,Vertex Trading 166,Chennai,Tamil Nadu,4.1,18
166,Apex Distribution 167,Chennai,West Bengal,4.1,8
167,Vertex Trading 168,Pune,Andhra Pradesh,4.9,15
168,Apex Distribution 169,Hyderabad,West Bengal,3.9,10
169,TechSource 170,Delhi,Delhi,4.8,12
170,Elite Imports 171,Chennai,Maharashtra,3.4,19
171,NextGen Wholesale 172,Delhi,Karnataka,3.3,6
172,Prime Supply 173,Hyderabad,Tamil Nadu,3.8,20
173,BlueLine Supply 174,Kolkata,Andhra Pradesh,4.1,10
174,NextGen Wholesale 175,Bengaluru,Kerala,4.6,19
175,BlueLine Supply 176,Mumbai,Maharashtra,4.4,7
176,Global Distributors 177,Mumbai,Andhra Pradesh,4.4,15
177,Vertex Trading 178,Ahmedabad,Uttar Pradesh,4.4,2
178,Vertex Trading 179,Kolkata,Kerala,4.4,19
179,Elite Imports 180,Ahmedabad,Telangana,4.0,15
180,Apex Distribution 181,Ahmedabad,Tamil Nadu,4.9,18
181,Global Distributors 182,Hyderabad,Andhra Pradesh,4.8,5
182,Vertex Trading 183,Chennai,Maharashtra,4.1,10
183,Apex Distribution 184,Mumbai,Maharashtra,3.8,8
184,TechSource 185,Mumbai,Telangana,5.0,8
185,TechSource 186,Chennai,Tamil Nadu,3.4,17
186,TechSource 187,Mumbai,Karnataka,4.0,15
187,Apex Distribution 188,Hyderabad,Gujarat,3.9,8
188,Apex Distribution 189,Bengaluru,Kerala,3.8,19
189,Global Distributors 190,Chennai,Uttar Pradesh,3.4,8
190,BlueLine Supply 191,Delhi,Karnataka,3.3,13
191,BlueLine Supply 192,Mumbai,Uttar Pradesh,4.2,7
192,Vertex Trading 193,Hyderabad,Karnataka,3.4,15
193,Vertex Trading 194,Bengaluru,Andhra Pradesh,3.4,10
194,Vertex Trading 195,Mumbai,Kerala,3.6,2
195,Vertex Trading 196,Hyderabad,Delhi,4.9,13
196,Global Distributors 197,Delhi,Delhi,4.6,6
197,Vertex Trading 198,Pune,West Bengal,3.6,16
198,Global Distributors 199,Kolkata,Gujarat,3.4,3
199,Apex Distribution 200,Pune,West Bengal,5.0,4
200,Prime Supply 201,Bengaluru,Delhi,4.4,18
