ReturnID,OrderID,ProductID,ReturnReason,ReturnDate,RefundAmount
181,14816,212,Missing Parts,2023-11-09,772.87
182,6040,116,Wrong Item,2026-10-10,11068.64
183,15070,85,Defective,2026-04-12,2997.81
184,17363,442,Missing Parts,2026-08-22,3870.62
185,2328,159,Changed Mind,2024-11-12,3077.79
186,6098,416,Late Delivery,2023-02-09,10554.77
187,15868,590,Defective,2025-03-23,496.97
188,22340,200,Changed Mind,2024-05-20,18296.22
189,13553,692,Missing Parts,2023-02-16,1125.84
190,1966,692,Missing Parts,2024-12-27,15768.99
191,11080,945,Late Delivery,2025-06-24,3746.08
192,22427,940,Damaged,2026-04-30,5382.78
193,22546,230,Damaged,2025-12-04,9359.85
194,2071,237,Late Delivery,2025-06-12,3352.15
195,7314,831,Damaged,2024-06-15,1552.42
196,11621,175,Wrong Item,2024-08-15,5381.64
197,6209,831,Late Delivery,2023-04-28,9137.29
198,3516,414,Damaged,2026-11-29,2184.71
199,13841,82,Late Delivery,2025-12-23,18853.81
200,5116,678,Missing Parts,2024-12-18,16256.99
201,3304,185,Changed Mind,2024-05-29,10493.93
202,577,208,Changed Mind,2023-08-12,5909.06
203,3479,596,Damaged,2025-03-28,22885.96
204,2194,329,Missing Parts,2025-09-07,5551.69
205,18172,297,Missing Parts,2026-01-09,8862.51
206,891,900,Late Delivery,2023-01-21,1669.35
207,2158,470,Changed Mind,2024-03-31,18983.3
208,16880,750,Damaged,2025-11-03,17236.79
209,13913,131,Changed Mind,2024-11-11,4771.98
210,2984,510,Damaged,2023-04-10,10989.23
211,11,190,Missing Parts,2023-08-03,16600.79
212,15627,578,Defective,2023-09-02,2822.79
213,9243,538,Wrong Item,2023-08-29,20039.07
214,20683,669,Defective,2023-06-18,14435.38
215,18520,974,Missing Parts,2025-05-18,14798.26
216,23775,846,Late Delivery,2023-06-24,24815.8
217,22239,206,Damaged,2024-11-13,4778.73
218,21631,846,Wrong Item,2023-07-08,19360.16
219,22528,528,Defective,2023-08-18,20280.4
220,8054,975,Missing Parts,2023-05-22,15437.33
221,19040,692,Late Delivery,2024-03-07,1100.44
222,10931,3,Defective,2023-06-24,19039.07
223,22532,163,Changed Mind,2023-08-28,6430.06
224,18918,884,Wrong Item,2025-01-10,19344.15
225,24683,927,Missing Parts,2026-07-01,24514.16
226,3701,747,Wrong Item,2026-05-12,22711.91
227,5491,470,Defective,2023-08-26,19934.0
228,7502,200,Defective,2026-09-02,5614.65
229,19222,101,Defective,2023-07-23,9029.45
230,2334,722,Damaged,2025-06-01,10080.04
231,12000,990,Changed Mind,2023-06-30,9487.18
232,14287,659,Wrong Item,2026-12-01,5904.83
233,11016,160,Damaged,2025-02-06,11868.05
234,5185,317,Defective,2025-06-29,19577.85
235,18792,355,Late Delivery,2023-06-10,22321.21
236,13133,630,Damaged,2023-03-03,19091.25
237,2259,753,Missing Parts,2023-07-10,12660.45
238,18025,568,Wrong Item,2024-09-16,21766.14
239,14040,637,Late Delivery,2024-05-24,19216.49
240,12621,546,Late Delivery,2026-05-04,11182.24
241,566,743,Damaged,2025-07-13,3976.18
242,7509,250,Defective,2023-07-25,721.17
243,18269,205,Changed Mind,2023-03-04,3524.27
244,6721,9,Changed Mind,2025-06-26,9234.27
245,6112,548,Late Delivery,2025-06-02,4352.58
246,2091,347,Damaged,2025-08-06,6971.2
247,8588,257,Late Delivery,2025-03-05,23950.68
248,6305,396,Missing Parts,2023-03-21,21522.98
249,6690,181,Changed Mind,2023-06-13,17558.49
250,5662,586,Damaged,2025-09-23,6869.69
251,9520,973,Late Delivery,2024-01-07,166.16
252,21575,776,Missing Parts,2023-03-31,21511.53
253,19163,758,Late Delivery,2025-07-06,3111.56
254,5141,273,Missing Parts,2025-03-31,16608.48
255,11880,963,Missing Parts,2024-10-01,1934.8
256,15573,849,Wrong Item,2024-06-26,17511.87
257,14749,111,Defective,2024-06-11,18492.22
258,21422,456,Changed Mind,2024-08-13,22911.23
259,4588,683,Wrong Item,2024-06-27,5490.76
260,13475,778,Late Delivery,2024-07-08,18681.06
261,3212,432,Changed Mind,2025-07-29,15772.38
262,4028,114,Missing Parts,2026-05-24,7568.56
263,18369,961,Missing Parts,2025-04-08,6022.44
264,8417,273,Damaged,2024-05-01,21854.15
265,2480,756,Damaged,2024-05-08,8608.03
266,4732,650,Defective,2024-12-18,372.62
267,13277,432,Changed Mind,2026-02-11,17371.74
268,24941,662,Late Delivery,2023-01-21,19413.01
269,12472,177,Defective,2024-10-29,2251.06
270,2051,674,Damaged,2026-05-04,20825.83
271,5937,490,Late Delivery,2023-12-08,14937.03
272,4105,407,Defective,2026-10-21,5426.26
273,23143,507,Defective,2025-04-22,17246.33
274,2808,323,Wrong Item,2024-03-07,15905.46
275,22352,652,Late Delivery,2025-01-10,15202.9
276,19116,868,Wrong Item,2026-10-16,24488.64
277,20316,142,Damaged,2026-10-15,14353.59
278,18479,534,Defective,2025-06-30,17749.93
279,7011,765,Damaged,2023-11-16,12470.05
280,11594,281,Damaged,2026-09-07,12428.0
281,11163,193,Damaged,2024-05-01,16403.19
282,18322,94,Late Delivery,2024-10-12,11743.35
283,1100,90,Changed Mind,2025-03-04,19377.95
284,14133,331,Missing Parts,2026-03-14,610.82
285,18817,866,Late Delivery,2023-04-16,20865.04
286,2381,543,Defective,2026-08-23,9622.64
287,19353,266,Late Delivery,2026-02-24,2105.93
288,21113,688,Missing Parts,2023-12-22,1098.1
289,1410,197,Changed Mind,2024-04-06,17179.35
290,3684,218,Defective,2025-03-22,11396.11
291,18381,635,Missing Parts,2024-12-06,5260.03
292,8612,982,Defective,2024-02-01,5889.56
293,2524,980,Wrong Item,2024-12-23,5708.19
294,14052,312,Late Delivery,2023-07-12,1887.14
295,24474,932,Late Delivery,2025-01-17,13619.32
296,18087,914,Missing Parts,2023-09-02,23478.2
297,24307,144,Changed Mind,2026-12-22,17445.6
298,9934,126,Changed Mind,2023-02-24,9640.67
299,17576,187,Wrong Item,2023-12-14,19424.32
300,13758,177,Defective,2024-11-14,8745.04
301,19844,599,Changed Mind,2025-11-29,23160.25
302,15952,551,Defective,2025-09-25,15878.87
303,8946,858,Missing Parts,2023-09-22,7180.08
304,7731,618,Wrong Item,2023-06-25,7613.45
305,20263,483,Changed Mind,2023-07-07,16067.95
306,2172,553,Defective,2024-01-06,17076.53
307,17248,143,Missing Parts,2023-06-14,2404.56
308,24185,122,Late Delivery,2025-04-06,10805.03
309,9929,899,Wrong Item,2026-11-09,12061.5
310,21579,345,Changed Mind,2025-07-26,6233.13
311,15926,242,Late Delivery,2025-04-11,22735.22
312,16284,620,Changed Mind,2025-03-01,20882.05
313,18651,525,Late Delivery,2025-05-31,22508.49
314,1920,863,Damaged,2025-03-29,6306.32
315,24711,802,Damaged,2023-03-22,22179.55
316,15725,856,Defective,2023-06-08,19983.23
317,21827,229,Missing Parts,2023-11-29,7261.39
318,11453,851,Changed Mind,2026-12-12,13272.51
319,19846,743,Missing Parts,2023-02-11,20199.15
320,23646,878,Missing Parts,2024-04-21,23242.19
321,12281,585,Defective,2024-12-02,17713.83
322,8320,664,Missing Parts,2023-03-27,17116.23
323,2955,962,Wrong Item,2026-08-12,23324.11
324,13659,947,Late Delivery,2026-07-29,4361.27
325,6584,517,Defective,2025-12-04,20161.32
326,20279,212,Damaged,2024-12-18,20152.88
327,5494,61,Damaged,2025-08-30,21935.48
328,391,885,Late Delivery,2024-06-10,12706.97
329,2506,328,Changed Mind,2023-05-04,6997.5
330,12519,325,Changed Mind,2024-05-29,11156.33
331,18453,646,Damaged,2025-08-25,17616.01
332,17380,891,Late Delivery,2027-01-02,23963.86
333,8545,251,Defective,2026-01-05,15334.47
334,3579,79,Late Delivery,2023-04-08,18182.8
335,5759,320,Missing Parts,2023-11-03,15643.78
336,123,144,Defective,2025-02-09,527.84
337,10005,657,Late Delivery,2024-04-03,9056.53
338,22524,723,Defective,2026-02-22,10291.16
339,18393,110,Missing Parts,2026-02-06,21659.85
340,3864,360,Damaged,2025-10-14,9741.0
341,13728,419,Defective,2026-09-13,3583.27
342,11611,282,Defective,2023-08-11,16373.12
343,6689,454,Wrong Item,2026-07-31,5356.32
344,9927,490,Late Delivery,2026-07-15,16612.08
345,11684,277,Missing Parts,2023-08-10,21380.91
346,13490,778,Changed Mind,2023-07-02,5094.6
347,16703,511,Damaged,2024-08-05,10976.01
348,2768,581,Changed Mind,2023-09-18,2579.75
349,14008,724,Defective,2026-03-18,7953.29
350,9956,956,Defective,2025-04-19,3150.31
351,17295,424,Missing Parts,2026-03-09,13856.18
352,11352,377,Changed Mind,2025-08-01,3588.18
353,7106,14,Defective,2025-08-23,13441.17
354,9204,293,Missing Parts,2024-10-28,19515.59
355,10051,44,Damaged,2024-02-06,16438.57
356,13414,908,Defective,2026-01-20,16278.33
357,9591,279,Late Delivery,2026-08-05,19260.24
358,21438,926,Damaged,2026-03-13,3639.28
359,15112,340,Missing Parts,2024-10-09,7660.38
360,18290,106,Changed Mind,2023-06-11,24328.84
361,6241,434,Late Delivery,2025-12-16,17041.49
362,6277,318,Late Delivery,2024-09-20,17895.57
363,22847,253,Wrong Item,2026-06-29,18097.2
364,6918,843,Damaged,2025-02-01,16498.68
365,19146,873,Missing Parts,2025-06-30,16040.22
366,18464,170,Missing Parts,2026-09-08,17443.19
367,23347,43,Wrong Item,2024-05-15,3480.84
368,12136,545,Late Delivery,2026-06-20,17794.47
369,11481,17,Changed Mind,2026-05-24,23016.77
370,11033,58,Wrong Item,2023-01-07,20049.9
371,6834,89,Damaged,2027-01-14,21392.31
372,21382,704,Defective,2026-09-02,1235.63
373,8791,888,Damaged,2026-08-16,22780.28
374,13071,209,Missing Parts,2025-08-18,5759.26
375,615,924,Changed Mind,2024-04-09,19025.41
376,11764,71,Wrong Item,2024-03-31,16191.49
377,19703,657,Wrong Item,2023-08-01,14507.72
378,16825,509,Defective,2024-02-17,15143.67
379,6297,192,Wrong Item,2023-11-23,5584.13
380,13739,625,Late Delivery,2023-04-08,4022.89
381,7802,427,Late Delivery,2025-03-10,23633.85
382,7010,163,Missing Parts,2024-06-02,18536.57
383,22049,371,Damaged,2026-07-21,19069.1
384,18886,850,Missing Parts,2024-11-26,19067.06
385,2782,618,Defective,2026-08-23,18954.83
386,16032,968,Changed Mind,2026-08-03,15070.69
387,16616,109,Missing Parts,2024-04-14,1260.27
388,7012,857,Missing Parts,2023-07-12,2755.7
389,14559,764,Late Delivery,2024-08-08,19899.18
390,10581,894,Missing Parts,2026-07-15,18682.01
391,14593,99,Late Delivery,2026-08-28,15847.68
392,19475,455,Defective,2023-12-14,8681.9
393,11681,489,Missing Parts,2023-07-27,22799.92
394,24702,932,Late Delivery,2023-01-21,22067.48
395,7566,221,Changed Mind,2025-05-05,16308.21
396,21558,692,Late Delivery,2026-09-19,24023.34
397,13839,927,Damaged,2023-02-25,18287.28
398,7476,611,Defective,2025-06-05,22568.63
399,7124,760,Changed Mind,2024-10-19,8141.89
400,7995,48,Defective,2023-06-12,1999.78
401,8901,308,Late Delivery,2025-11-26,20968.36
402,5378,323,Changed Mind,2024-12-04,5883.29
403,6453,612,Defective,2026-07-06,3486.19
404,1827,409,Missing Parts,2023-12-25,8956.04
405,14116,72,Wrong Item,2026-05-25,15290.5
406,4906,248,Damaged,2023-01-28,13983.52
407,9596,954,Changed Mind,2023-03-08,19443.95
408,17591,316,Defective,2026-01-15,16672.55
409,7584,411,Late Delivery,2025-01-05,920.53
410,11384,975,Changed Mind,2023-12-21,13273.14
411,21380,176,Missing Parts,2026-05-24,22775.01
412,5661,92,Defective,2024-09-26,12470.99
413,7002,68,Late Delivery,2025-06-25,9099.76
414,14279,721,Wrong Item,2025-05-15,967.1
415,5540,789,Missing Parts,2024-01-09,17644.35
416,5927,779,Late Delivery,2025-02-08,281.4
417,5639,120,Damaged,2024-12-05,20457.14
418,19781,573,Damaged,2026-08-16,5259.24
419,2637,719,Defective,2026-04-12,11449.13
420,5243,938,Damaged,2024-12-29,22798.73
421,4298,409,Damaged,2026-01-24,15333.96
422,16778,485,Defective,2026-08-31,10856.24
423,24024,148,Changed Mind,2026-10-01,14716.9
424,6504,615,Defective,2025-11-07,5459.35
425,10164,21,Late Delivery,2025-01-14,10450.9
426,19545,654,Late Delivery,2024-12-09,18932.01
427,13112,387,Changed Mind,2026-08-25,10930.03
428,6526,508,Damaged,2025-05-29,1004.29
429,9733,488,Damaged,2025-05-31,13555.87
430,23872,704,Wrong Item,2025-03-07,9947.02
431,17782,553,Wrong Item,2026-12-15,19533.92
432,299,776,Defective,2024-03-17,855.24
433,14191,127,Damaged,2023-04-06,9349.56
434,19863,744,Changed Mind,2026-08-04,19753.49
435,254,4,Late Delivery,2024-08-29,17694.75
436,4630,432,Defective,2024-05-10,2529.53
437,8890,165,Late Delivery,2026-08-11,10434.55
438,1853,262,Late Delivery,2026-07-17,20931.11
439,22029,331,Defective,2025-03-06,13092.99
440,18057,627,Defective,2025-12-01,1970.37
441,16818,242,Wrong Item,2026-07-19,3309.0
442,18611,305,Missing Parts,2024-03-11,9186.29
443,9734,86,Wrong Item,2025-03-09,20700.91
444,23045,922,Late Delivery,2025-10-20,3434.84
445,16412,451,Changed Mind,2024-12-21,1052.53
446,3346,872,Late Delivery,2026-07-07,189.48
447,23804,230,Damaged,2024-10-17,1842.87
448,11528,723,Missing Parts,2026-11-01,4512.51
449,18457,701,Damaged,2026-02-03,15839.51
450,1802,995,Changed Mind,2026-04-16,13208.92
451,10480,574,Wrong Item,2026-10-29,12666.29
452,2162,423,Late Delivery,2023-06-06,17462.38
453,16897,402,Damaged,2024-12-07,8061.91
454,11619,889,Changed Mind,2025-03-27,23122.91
455,3046,42,Changed Mind,2023-01-28,10921.47
456,3733,357,Damaged,2026-06-27,11867.42
457,12993,420,Defective,2026-08-23,22047.38
458,18796,354,Changed Mind,2026-12-18,14176.67
459,11299,883,Missing Parts,2023-08-13,2881.9
460,2572,76,Defective,2024-12-26,15260.59
461,2138,680,Missing Parts,2024-02-12,10512.84
462,8159,336,Changed Mind,2025-01-26,20049.46
463,17067,761,Wrong Item,2026-12-06,15292.72
464,6715,691,Late Delivery,2024-11-01,4993.76
465,805,616,Wrong Item,2025-10-03,3590.72
466,20717,136,Late Delivery,2024-01-25,6873.27
467,12379,784,Wrong Item,2023-07-30,6284.34
468,23106,408,Damaged,2025-06-26,16506.38
469,21911,652,Late Delivery,2024-02-12,16697.98
470,2789,565,Changed Mind,2023-09-27,8487.25
471,9861,845,Changed Mind,2024-11-25,15295.01
472,15609,881,Damaged,2026-04-24,17945.68
473,15106,228,Wrong Item,2025-03-02,1259.43
474,13467,216,Defective,2025-04-08,24974.32
475,17090,830,Defective,2023-03-26,18880.97
476,15512,164,Late Delivery,2026-11-18,8204.26
477,11265,572,Wrong Item,2025-05-31,18564.39
478,20800,304,Changed Mind,2024-01-23,12078.68
479,10562,743,Late Delivery,2026-10-16,8260.7
480,10812,117,Late Delivery,2026-11-19,6243.65
481,2391,433,Late Delivery,2027-01-11,18377.26
482,7657,236,Wrong Item,2025-09-27,139.22
483,9975,285,Defective,2024-08-23,23163.38
484,17161,105,Wrong Item,2026-09-03,11562.94
485,1060,36,Wrong Item,2026-12-12,11869.36
486,15573,498,Damaged,2024-07-06,767.01
487,7093,199,Defective,2025-07-18,10515.9
488,16248,720,Damaged,2024-01-09,11594.73
489,4224,709,Damaged,2025-05-10,21301.61
490,6203,950,Defective,2024-04-25,7173.48
491,8556,921,Late Delivery,2026-10-24,8735.29
492,6457,38,Defective,2025-04-14,1061.8
493,11767,593,Missing Parts,2025-09-13,17594.44
494,1400,836,Late Delivery,2025-08-07,15796.84
495,2150,999,Wrong Item,2026-08-04,21763.39
496,2497,71,Defective,2024-05-31,10293.09
497,6924,187,Late Delivery,2026-04-19,6584.75
498,5141,145,Late Delivery,2025-04-03,17553.3
499,4641,214,Missing Parts,2026-09-28,8953.55
500,5212,434,Damaged,2025-06-29,20410.88
501,10162,961,Wrong Item,2025-12-18,8965.45
502,10999,799,Defective,2023-02-10,4124.57
503,1759,399,Defective,2025-06-06,8755.91
504,8804,847,Late Delivery,2026-05-20,17340.8
505,16641,890,Missing Parts,2024-03-19,19247.63
506,1100,34,Wrong Item,2025-03-04,10827.02
507,253,832,Late Delivery,2026-09-17,16678.51
508,3660,269,Wrong Item,2023-08-30,3186.38
509,4067,140,Damaged,2026-07-07,6966.37
510,23451,720,Defective,2026-02-10,11739.83
511,16237,429,Changed Mind,2026-02-27,15617.97
512,8306,745,Changed Mind,2026-11-11,6599.8
513,1197,30,Missing Parts,2026-10-30,3786.64
514,21374,652,Damaged,2025-08-12,14943.92
515,8149,641,Late Delivery,2023-05-04,9358.01
516,22179,990,Wrong Item,2024-04-17,418.74
517,4902,991,Defective,2024-09-30,9802.57
518,22521,145,Missing Parts,2023-12-19,23482.0
519,7053,124,Missing Parts,2024-06-26,16282.69
520,23652,522,Changed Mind,2025-12-01,17441.04
521,22619,869,Late Delivery,2024-10-12,3073.64
522,14427,730,Defective,2023-06-22,13724.4
523,17063,972,Missing Parts,2025-12-31,5065.8
524,14517,148,Wrong Item,2023-12-25,20443.23
525,3896,953,Wrong Item,2024-05-25,7234.86
526,16255,104,Wrong Item,2024-01-26,22037.74
527,22524,297,Wrong Item,2026-02-24,5940.66
528,14654,183,Missing Parts,2025-06-11,21057.86
529,16183,58,Changed Mind,2023-10-10,21652.91
530,912,491,Damaged,2025-09-30,5030.72
531,11832,229,Defective,2026-09-22,4240.1
532,5910,4,Damaged,2026-08-04,20509.92
533,7944,281,Defective,2023-08-30,2113.11
534,10746,916,Changed Mind,2025-05-05,12012.17
535,2240,378,Damaged,2023-09-20,3032.11
536,8941,118,Late Delivery,2026-07-01,18936.05
537,24375,585,Damaged,2023-09-06,115.92
538,19349,202,Defective,2025-06-08,21686.69
539,11558,798,Late Delivery,2026-02-06,5018.51
540,20383,620,Wrong Item,2025-05-12,20892.24
541,7244,768,Defective,2024-03-26,4093.35
542,8433,253,Defective,2024-06-15,3152.54
543,5693,883,Defective,2026-04-27,12461.14
544,8791,634,Missing Parts,2026-08-17,15916.64
545,7336,284,Changed Mind,2026-09-18,12170.78
546,20547,662,Missing Parts,2024-07-25,24593.9
547,20298,267,Missing Parts,2024-08-01,4176.89
548,14216,114,Wrong Item,2023-02-04,20452.33
549,11652,688,Late Delivery,2023-04-14,16738.17
550,3089,481,Late Delivery,2023-01-07,237.35
551,24768,747,Damaged,2024-11-15,13093.87
552,20149,815,Defective,2023-05-16,2393.84
553,5194,7,Damaged,2024-02-07,14351.42
554,12991,468,Changed Mind,2024-08-04,18956.59
555,6600,397,Missing Parts,2025-08-31,14564.63
556,18530,875,Missing Parts,2025-07-02,12376.49
557,4244,249,Late Delivery,2023-07-09,2330.23
