SessionID,CustomerID,VisitDate,Device,TrafficSource,SessionDuration_Min,PagesViewed,Purchased
105,3698,2026-08-08,Desktop,Facebook,13.85,0,No
106,3879,2025-06-04,Tablet,Facebook,31.63,0,No
107,853,2026-08-30,Mobile,Instagram,22.02,0,Yes
108,685,2024-11-19,Tablet,Referral,10.86,0,No
109,3777,2024-10-05,Mobile,Referral,44.25,0,No
110,2470,2026-06-30,Mobile,Organic,9.98,0,No
111,570,2023-09-06,Tablet,Referral,15.07,7,No
112,1339,2024-05-08,Desktop,Instagram,5.08,8,No
113,1785,2026-03-16,Tablet,Instagram,1.05,8,No
114,2365,2025-12-02,Mobile,Direct,11.02,12,No
115,424,2024-02-06,Desktop,Organic,21.66,6,No
116,1867,2023-01-17,Desktop,Direct,15.75,14,Yes
117,4790,2024-10-12,Tablet,Facebook,3.79,2,Yes
118,3677,2026-11-10,Mobile,Organic,42.76,13,No
119,1318,2024-07-26,Desktop,Referral,28.77,13,No
120,2095,2025-01-19,Mobile,Google Ads,26.76,9,No
121,3534,2023-03-17,Mobile,Direct,7.97,12,No
122,771,2025-08-14,Mobile,Facebook,44.44,8,No
123,852,2023-05-08,Tablet,Organic,15.87,3,No
124,4168,2025-02-28,Tablet,Direct,28.5,9,No
125,4060,2025-05-08,Desktop,Referral,29.43,5,No
126,3608,2025-02-20,Desktop,Referral,11.87,9,No
127,723,2024-04-18,Mobile,Referral,34.35,4,Yes
128,1029,2023-12-14,Desktop,Google Ads,27.48,10,No
129,1715,2023-05-12,Tablet,Instagram,9.97,9,No
130,3969,2024-06-22,Mobile,Facebook,30.08,3,No
131,3774,2026-02-12,Desktop,Referral,31.05,13,No
132,4729,2024-12-01,Mobile,Referral,3.49,1,No
133,3868,2025-01-19,Tablet,Google Ads,23.89,7,No
134,4321,2023-12-29,Mobile,Instagram,29.81,4,No
135,4768,2023-03-10,Desktop,Referral,41.81,7,No
136,1810,2024-08-27,Tablet,Direct,40.87,10,Yes
137,1982,2025-03-26,Desktop,Direct,27.71,5,No
138,2397,2025-06-07,Mobile,Email,9.64,8,Yes
139,4330,2026-09-26,Tablet,Direct,14.24,7,No
140,1028,2026-08-10,Tablet,Instagram,24.96,1,No
141,1972,2026-10-01,Tablet,Email,3.69,15,Yes
142,2121,2024-09-03,Desktop,Email,32.45,12,No
143,1741,2024-09-26,Desktop,Facebook,28.12,5,No
144,1012,2026-05-03,Mobile,Referral,22.62,15,No
145,3899,2023-05-23,Tablet,Direct,11.65,8,No
146,2583,2023-11-11,Tablet,Referral,17.37,9,Yes
147,520,2026-09-25,Mobile,Facebook,19.61,12,No
148,3928,2026-02-27,Desktop,Facebook,16.11,2,Yes
149,3155,2023-09-25,Tablet,Referral,42.23,8,No
150,0,2026-02-21,Mobile,Direct,17.76,15,Yes
151,0,2025-04-26,Tablet,Organic,13.61,8,Yes
152,0,2026-03-09,Mobile,Organic,41.92,11,Yes
153,0,2025-07-07,Desktop,Instagram,9.3,9,Yes
154,0,2025-05-27,Desktop,Google Ads,26.73,9,Yes
155,0,2026-07-03,Tablet,Direct,41.92,6,Yes
156,0,2025-09-13,Tablet,Instagram,41.79,6,Yes
157,0,2024-04-02,Mobile,Referral,43.09,8,Yes
158,0,2023-12-21,Tablet,Google Ads,4.32,11,Yes
159,0,2023-11-25,Mobile,Google Ads,42.83,14,Yes
160,0,2025-08-02,Tablet,Instagram,39.97,2,Yes
161,0,2023-11-07,Desktop,Facebook,35.69,8,Yes
162,0,2024-01-19,Tablet,Referral,12.89,4,Yes
163,1981,2026-03-10,Mobile,Google Ads,27.28,4,Yes
164,1718,2023-12-07,Tablet,Google Ads,24.67,4,No
165,340,2025-11-20,Desktop,Referral,43.0,10,Yes
166,279,2025-05-07,Tablet,Direct,11.5,11,No
167,4184,2026-05-13,Tablet,Organic,1.98,14,No
168,1280,2024-04-23,Tablet,Referral,3.55,8,No
169,4849,2024-04-23,Desktop,Direct,10.64,3,No
170,866,2023-12-17,Desktop,Organic,8.04,10,Yes
171,703,2024-05-16,Desktop,Google Ads,35.77,14,Yes
172,724,2023-03-12,Desktop,Instagram,36.63,6,No
173,2260,2025-06-18,Tablet,Direct,23.89,4,No
174,3008,2026-04-15,Tablet,Direct,33.28,5,Yes
175,859,2025-04-07,Desktop,Organic,42.4,8,No
176,2202,2026-03-29,Mobile,Email,22.56,12,No
177,2838,2023-09-16,Desktop,Instagram,9.59,7,No
178,4913,2025-06-30,Tablet,Organic,16.63,11,No
179,877,2026-08-12,Desktop,Organic,29.08,5,No
180,61,2026-10-30,Desktop,Facebook,23.43,15,No
181,3326,2026-08-01,Desktop,Google Ads,4.1,11,Yes
182,4755,2026-05-22,Mobile,Email,8.39,12,No
183,3447,2025-07-09,Desktop,Facebook,38.76,4,Yes
184,538,2024-06-17,Desktop,Direct,21.12,13,No
185,3833,2025-07-04,Mobile,Google Ads,21.2,4,No
186,1633,2026-02-23,Mobile,Facebook,26.31,5,No
187,3141,2026-05-09,Tablet,Instagram,33.26,3,No
188,4651,2025-09-12,Desktop,Email,23.84,8,No
189,304,2025-09-28,Desktop,Direct,42.71,7,No
190,4911,2024-01-22,Mobile,Referral,7.49,9,Yes
191,1869,2023-10-22,Tablet,Facebook,8.49,3,No
192,232,2026-10-24,Tablet,Instagram,42.74,8,No
193,2336,2023-12-22,Mobile,Facebook,31.44,6,No
194,3779,2023-01-19,Mobile,Google Ads,23.65,14,No
195,1089,2025-12-12,Mobile,Google Ads,20.16,3,No
196,4587,2023-11-13,Desktop,Direct,22.43,14,No
197,3369,2024-07-14,Tablet,Organic,10.3,9,No
198,4230,2026-11-13,Desktop,Facebook,20.56,10,No
199,2106,2023-05-30,Tablet,Direct,4.03,11,No
200,3330,2023-09-18,Desktop,Facebook,42.35,2,No
201,3195,2024-04-26,Desktop,Google Ads,12.48,1,No
202,4109,2023-10-15,Mobile,Email,5.36,11,No
203,3363,2024-09-21,Tablet,Organic,38.45,10,No
204,734,2023-10-19,Desktop,Instagram,36.2,3,Yes
205,666,2023-06-15,Desktop,Organic,10.34,11,No
206,4005,2023-01-07,Desktop,Google Ads,2.26,11,No
207,3643,2023-04-08,Desktop,Direct,9.7,1,No
208,3506,2023-10-25,Tablet,Direct,1.52,15,No
209,4083,2026-11-26,Desktop,Referral,24.73,4,No
210,3078,2024-11-18,Desktop,Direct,14.25,14,No
211,1080,2023-09-09,Desktop,Google Ads,6.12,4,No
212,2874,2024-10-08,Tablet,Google Ads,40.64,7,No
213,3750,2026-04-15,Tablet,Email,34.18,12,No
214,2004,2024-02-04,Mobile,Google Ads,19.76,3,No
215,1647,2025-03-15,Desktop,Email,37.17,9,No
216,2046,2025-08-02,Mobile,Referral,36.08,8,No
217,1452,2025-09-18,Desktop,Instagram,33.35,1,No
218,2846,2024-12-03,Tablet,Google Ads,5.5,13,No
219,3505,2023-01-13,Tablet,Referral,42.96,9,Yes
220,4828,2025-02-04,Tablet,Email,22.69,14,No
221,805,2024-04-30,Desktop,Organic,15.27,10,No
222,1156,2026-09-28,Tablet,Instagram,33.61,3,Yes
223,238,2026-06-16,Mobile,Facebook,3.51,9,No
224,4520,2025-06-26,Desktop,Organic,6.78,4,No
225,3930,2023-06-06,Desktop,Google Ads,37.92,5,Yes
226,1193,2026-12-24,Mobile,Organic,1.14,3,No
227,2148,2024-11-06,Mobile,Email,44.89,2,No
228,4634,2023-08-27,Tablet,Instagram,23.56,8,No
229,4993,2023-07-21,Desktop,Direct,32.65,10,No
230,3347,2023-11-17,Mobile,Email,16.89,11,No
231,1291,2026-03-27,Tablet,Instagram,40.51,3,No
232,1814,2025-07-10,Mobile,Direct,37.27,14,Yes
233,879,2025-06-19,Tablet,Instagram,38.7,2,No
234,1211,2024-02-23,Desktop,Instagram,14.03,6,No
235,289,2024-05-30,Desktop,Organic,10.0,5,No
236,994,2023-12-08,Tablet,Email,33.31,8,No
237,200,2024-04-03,Mobile,Organic,21.43,14,No
238,265,2024-11-28,Mobile,Referral,33.3,3,No
239,1154,2023-01-18,Tablet,Instagram,9.14,6,No
240,1807,2025-07-26,Mobile,Facebook,34.53,8,Yes
241,2176,2026-06-24,Mobile,Direct,7.04,3,No
242,4888,2023-12-21,Tablet,Instagram,24.77,2,Yes
243,1481,2026-07-27,Desktop,Direct,19.44,11,No
244,1414,2024-03-25,Mobile,Organic,23.39,2,No
245,2070,2025-11-07,Mobile,Referral,2.78,3,No
246,4068,2026-10-31,Tablet,Instagram,17.27,7,No
247,879,2024-03-01,Desktop,Facebook,13.9,1,No
248,396,2024-12-13,Tablet,Google Ads,38.54,12,No
249,1340,2025-10-20,Tablet,Google Ads,14.93,14,No
250,4046,2024-03-16,Tablet,Organic,35.1,5,No
251,3347,2023-11-13,Tablet,Organic,31.3,8,No
252,4200,2024-01-27,Desktop,Instagram,27.63,5,No
253,555,2025-09-26,Mobile,Direct,32.48,8,No
254,323,2025-03-15,Desktop,Facebook,43.06,3,No
255,103,2024-06-03,Tablet,Google Ads,27.86,12,No
256,2377,2023-07-18,Mobile,Organic,39.37,4,No
257,4344,2026-08-27,Tablet,Facebook,37.07,3,No
258,3864,2024-06-07,Desktop,Google Ads,44.73,9,No
259,2835,2023-05-29,Desktop,Facebook,6.23,4,No
260,4293,2023-04-26,Mobile,Facebook,24.32,5,No
261,4698,2026-11-20,Mobile,Direct,24.48,5,No
262,3218,2025-04-11,Mobile,Facebook,0.83,6,No
263,4117,2026-05-25,Mobile,Facebook,22.61,1,No
264,1726,2026-07-07,Tablet,Email,18.2,13,No
265,636,2023-04-12,Tablet,Direct,14.25,15,No
266,1130,2024-08-11,Tablet,Organic,40.41,12,No
267,3262,2025-05-05,Tablet,Google Ads,1.73,5,Yes
268,2815,2024-11-29,Mobile,Google Ads,21.33,6,No
269,674,2024-03-06,Mobile,Referral,21.07,7,No
270,4520,2026-02-13,Tablet,Facebook,16.76,15,Yes
271,3390,2026-03-06,Mobile,Organic,28.0,6,No
272,2050,2023-01-19,Mobile,Google Ads,15.27,1,No
273,4742,2026-11-16,Tablet,Organic,12.09,14,Yes
274,2606,2024-03-22,Tablet,Google Ads,30.96,5,No
275,3846,2024-08-30,Mobile,Organic,6.78,7,No
276,973,2026-11-19,Mobile,Google Ads,43.48,2,No
277,203,2023-01-28,Desktop,Facebook,31.88,11,No
278,2661,2023-12-13,Mobile,Referral,23.26,7,No
279,4305,2023-06-11,Tablet,Direct,5.54,2,No
280,2607,2026-11-25,Mobile,Instagram,10.91,9,No
281,239,2026-03-15,Mobile,Google Ads,20.24,9,No
282,1026,2026-03-09,Tablet,Facebook,16.63,3,No
283,1730,2026-04-14,Mobile,Email,28.42,11,No
284,1309,2024-03-18,Desktop,Referral,35.12,3,No
285,2767,2024-08-13,Mobile,Email,31.94,5,Yes
286,4310,2026-03-30,Mobile,Organic,6.38,7,Yes
287,387,2023-11-25,Mobile,Referral,3.46,12,Yes
288,173,2025-04-22,Desktop,Direct,38.67,2,No
289,4025,2024-06-15,Tablet,Facebook,13.37,14,No
290,3940,2025-03-18,Tablet,Google Ads,27.83,2,No
291,3222,2024-02-23,Desktop,Direct,37.48,3,Yes
292,3596,2026-01-27,Tablet,Organic,5.79,1,No
293,3256,2026-12-06,Mobile,Google Ads,11.32,13,Yes
294,870,2023-06-15,Mobile,Direct,28.14,14,No
295,998,2024-06-23,Mobile,Instagram,16.08,13,No
296,4539,2024-03-25,Tablet,Instagram,0.67,13,No
297,1095,2025-04-18,Tablet,Instagram,12.36,11,No
298,3909,2023-07-23,Tablet,Instagram,26.38,12,No
299,996,2024-05-11,Mobile,Direct,26.32,5,No
300,1491,2026-05-23,Mobile,Instagram,31.92,13,No
301,2138,2026-11-23,Desktop,Direct,36.56,1,No
302,1122,2024-12-13,Mobile,Instagram,16.29,4,No
303,3756,2026-05-18,Desktop,Direct,26.62,13,No
304,4665,2024-02-18,Desktop,Organic,16.17,5,No
305,4471,2025-03-04,Mobile,Referral,10.32,8,No
306,2854,2026-07-10,Desktop,Referral,41.33,2,No
307,1236,2025-12-14,Mobile,Organic,38.04,1,No
308,370,2024-04-22,Desktop,Google Ads,21.47,1,No
309,1474,2025-11-24,Mobile,Google Ads,13.58,15,No
310,4682,2023-03-15,Mobile,Google Ads,18.45,1,No
311,3038,2025-10-23,Desktop,Google Ads,13.93,11,No
312,3683,2025-06-05,Desktop,Email,27.83,10,No
313,3793,2025-09-11,Desktop,Direct,16.43,5,No
314,2426,2024-11-07,Mobile,Referral,18.9,12,No
315,84,2026-08-18,Tablet,Direct,9.35,6,No
316,4767,2025-12-26,Desktop,Google Ads,42.71,1,No
317,3993,2026-08-27,Desktop,Instagram,28.92,6,No
318,4274,2024-09-13,Desktop,Direct,27.13,5,No
319,759,2023-02-15,Desktop,Google Ads,37.15,8,No
320,1226,2025-02-21,Tablet,Google Ads,21.92,13,Yes
321,2623,2024-06-18,Tablet,Google Ads,31.95,7,Yes
322,3963,2023-01-30,Mobile,Direct,28.23,1,No
323,2873,2023-02-18,Tablet,Facebook,38.01,11,No
324,2647,2026-01-02,Desktop,Direct,32.89,11,No
325,2277,2025-06-08,Mobile,Referral,28.9,5,No
326,3560,2023-12-05,Desktop,Organic,17.25,1,Yes
327,2076,2026-06-22,Tablet,Organic,13.57,12,Yes
328,3218,2025-05-20,Desktop,Instagram,1.57,5,Yes
329,2511,2023-08-31,Desktop,Direct,7.62,11,No
330,2784,2026-02-07,Desktop,Instagram,26.07,11,Yes
331,1405,2024-12-03,Desktop,Instagram,33.09,6,No
332,167,2025-11-19,Tablet,Referral,29.81,5,No
333,4397,2026-11-07,Desktop,Referral,18.37,2,Yes
334,3733,2025-11-11,Mobile,Google Ads,42.61,9,No
335,3349,2024-04-21,Mobile,Facebook,3.99,3,No
336,3255,2023-09-11,Desktop,Google Ads,44.44,12,Yes
337,4407,2023-10-11,Tablet,Google Ads,24.68,9,No
338,1062,2025-07-21,Tablet,Instagram,31.76,7,No
339,942,2024-10-22,Desktop,Email,30.09,1,No
340,2258,2024-03-21,Desktop,Email,4.11,5,No
341,1438,2024-10-04,Mobile,Email,21.3,12,No
342,4852,2026-07-17,Tablet,Referral,13.51,1,No
343,1246,2026-01-04,Desktop,Referral,10.82,1,No
344,2945,2023-12-29,Mobile,Google Ads,6.88,1,No
345,1864,2026-04-25,Tablet,Instagram,39.0,6,No
346,2174,2025-04-02,Mobile,Facebook,29.67,4,No
347,4547,2024-05-04,Mobile,Organic,30.1,13,No
348,620,2025-10-10,Desktop,Direct,19.25,13,No
349,2333,2025-11-30,Desktop,Referral,36.49,14,Yes
350,1195,2024-07-30,Mobile,Email,27.43,4,No
351,3864,2026-10-19,Desktop,Organic,32.41,12,No
352,505,2025-02-24,Desktop,Facebook,26.31,14,No
353,2939,2023-11-18,Tablet,Google Ads,22.23,11,No
354,3567,2023-05-16,Mobile,Google Ads,35.67,14,No
355,4883,2023-02-19,Mobile,Direct,2.68,8,No
356,2690,2026-02-22,Mobile,Referral,16.86,6,Yes
357,3130,2024-10-26,Mobile,Instagram,33.03,1,No
358,4088,2024-07-01,Desktop,Instagram,23.9,2,No
359,913,2025-05-09,Desktop,Organic,22.92,10,No
360,2007,2024-09-07,Tablet,Referral,11.65,5,No
361,1006,2026-02-16,Mobile,Google Ads,26.51,6,Yes
362,4760,2023-07-24,Desktop,Instagram,26.62,8,Yes
363,1117,2025-10-25,Mobile,Direct,5.92,5,No
364,2323,2025-11-13,Desktop,Google Ads,0.9,10,No
365,3883,2026-07-23,Mobile,Facebook,42.65,1,No
366,3482,2026-04-23,Desktop,Facebook,17.84,13,No
367,3471,2025-03-24,Tablet,Email,38.16,10,No
368,3886,2024-08-13,Mobile,Direct,39.07,9,No
369,4739,2025-12-13,Tablet,Google Ads,17.95,4,Yes
370,1704,2023-01-01,Mobile,Direct,6.81,3,No
371,2219,2023-11-04,Tablet,Direct,43.45,7,No
372,2117,2023-10-01,Tablet,Organic,22.14,7,No
373,3547,2026-01-25,Mobile,Facebook,4.69,6,No
374,3381,2025-07-20,Tablet,Direct,20.65,4,No
375,1118,2025-04-07,Tablet,Direct,25.28,7,Yes
376,462,2025-01-02,Mobile,Instagram,17.0,15,No
377,2660,2026-12-11,Mobile,Instagram,37.79,15,No
378,2823,2024-05-03,Tablet,Google Ads,33.77,8,Yes
379,834,2023-06-15,Tablet,Referral,39.63,2,No
380,3139,2025-10-28,Desktop,Organic,43.51,13,No
381,1066,2024-03-31,Desktop,Google Ads,21.61,1,No
382,1802,2024-04-01,Mobile,Email,16.52,7,No
383,4804,2024-03-20,Tablet,Organic,5.67,9,No
384,3634,2025-11-22,Desktop,Google Ads,22.27,2,No
385,1354,2026-02-05,Tablet,Direct,16.96,10,No
386,263,2026-11-14,Desktop,Google Ads,30.4,11,No
387,28,2025-12-18,Desktop,Email,1.92,15,No
388,4489,2026-01-13,Desktop,Email,39.02,4,No
389,4759,2025-08-16,Tablet,Organic,17.88,15,Yes
390,1095,2023-06-24,Mobile,Email,42.98,5,No
391,2580,2023-10-07,Mobile,Organic,42.33,15,No
392,4489,2023-06-10,Mobile,Email,31.57,15,No
393,2975,2025-01-03,Mobile,Facebook,35.83,14,No
394,3999,2026-07-07,Desktop,Facebook,32.01,10,Yes
395,1478,2023-11-29,Desktop,Google Ads,5.56,7,No
396,128,2026-03-28,Tablet,Email,35.94,2,No
397,3794,2023-03-05,Tablet,Organic,31.29,5,No
398,4602,2024-03-23,Mobile,Google Ads,11.84,4,Yes
399,764,2023-08-26,Desktop,Email,10.32,9,Yes
400,833,2025-06-28,Tablet,Organic,26.38,11,No
401,4236,2024-12-01,Desktop,Organic,21.8,10,No
402,976,2024-12-16,Mobile,Facebook,40.71,10,No
403,3681,2025-08-21,Desktop,Referral,31.69,1,No
404,3795,2024-06-25,Tablet,Direct,10.55,4,No
405,2121,2025-12-20,Mobile,Google Ads,19.76,15,No
406,4792,2025-05-18,Desktop,Direct,10.99,14,Yes
407,3964,2023-11-19,Desktop,Referral,26.65,6,No
408,2331,2026-03-02,Desktop,Instagram,20.15,11,No
409,1408,2026-01-28,Mobile,Email,11.04,5,No
410,4167,2026-04-09,Mobile,Google Ads,1.15,3,No
411,1588,2025-12-09,Desktop,Email,44.23,14,Yes
412,3571,2023-05-07,Mobile,Google Ads,3.57,8,No
413,2437,2025-04-08,Desktop,Email,5.74,9,Yes
414,1411,2024-04-09,Tablet,Email,18.5,9,No
415,2643,2025-12-17,Mobile,Email,19.66,8,No
416,612,2023-11-02,Mobile,Direct,14.23,8,No
417,3731,2023-11-21,Desktop,Direct,4.97,8,No
418,3398,2024-02-26,Desktop,Organic,37.1,13,No
419,4517,2024-06-10,Desktop,Direct,37.89,6,No
420,2871,2026-12-12,Tablet,Email,26.74,3,No
421,2866,2024-12-31,Tablet,Referral,28.78,9,Yes
422,1418,2025-01-09,Tablet,Facebook,15.17,13,Yes
423,1552,2024-06-07,Tablet,Direct,34.87,11,No
424,1178,2023-10-25,Desktop,Google Ads,1.25,6,No
425,4231,2026-10-21,Tablet,Referral,8.76,1,No
426,3765,2026-09-11,Mobile,Email,3.74,6,No
427,1550,2025-12-20,Mobile,Email,5.54,2,No
428,1558,2025-06-28,Tablet,Direct,25.49,12,No
429,468,2023-08-01,Desktop,Organic,16.44,15,No
430,838,2023-02-10,Mobile,Facebook,5.78,15,No
431,740,2024-01-02,Desktop,Instagram,28.15,3,Yes
432,334,2025-10-25,Desktop,Direct,43.89,4,No
433,1695,2024-04-01,Mobile,Referral,25.87,11,No
434,647,2026-05-17,Desktop,Organic,15.3,5,No
435,1215,2024-04-05,Mobile,Direct,19.75,1,No
436,4466,2024-10-08,Desktop,Organic,20.06,8,No
437,688,2024-10-22,Mobile,Email,7.17,14,Yes
438,693,2026-10-18,Mobile,Facebook,38.1,6,No
439,433,2026-12-22,Mobile,Google Ads,43.54,15,No
440,2370,2025-10-22,Tablet,Facebook,7.3,12,No
441,1421,2025-03-09,Tablet,Direct,9.74,9,No
442,4233,2024-09-30,Tablet,Instagram,2.69,11,No
443,829,2023-02-19,Tablet,Facebook,19.5,4,No
444,439,2025-10-19,Desktop,Direct,20.7,2,No
445,4587,2024-02-21,Tablet,Facebook,13.89,14,No
446,2123,2024-03-04,Desktop,Direct,28.66,4,Yes
447,3931,2025-06-07,Mobile,Referral,30.15,14,Yes
448,776,2025-06-16,Desktop,Instagram,24.52,2,No
449,2224,2024-02-26,Mobile,Direct,35.99,10,No
450,3734,2025-12-21,Desktop,Google Ads,37.96,6,No
451,4479,2024-10-15,Tablet,Referral,44.76,3,No
452,17,2024-05-31,Desktop,Referral,22.88,15,Yes
453,1452,2023-03-10,Desktop,Referral,33.0,12,No
454,2255,2025-11-25,Mobile,Email,4.56,3,No
455,1416,2025-03-21,Tablet,Direct,2.97,2,No
456,2633,2025-04-02,Desktop,Google Ads,9.03,1,Yes
457,2859,2024-06-25,Desktop,Direct,30.62,10,Yes
458,2134,2024-12-29,Desktop,Google Ads,3.08,9,No
459,4645,2025-06-15,Tablet,Organic,34.95,1,No
460,2760,2026-04-27,Desktop,Google Ads,8.13,5,No
461,782,2024-11-18,Desktop,Organic,34.8,13,No
462,1434,2025-11-25,Mobile,Email,35.12,1,No
463,4157,2026-06-02,Desktop,Instagram,17.63,4,No
464,1220,2023-10-08,Mobile,Instagram,11.05,12,No
465,3848,2024-12-06,Tablet,Referral,44.37,4,No
466,92,2025-10-11,Tablet,Direct,1.02,13,No
467,1920,2025-08-10,Desktop,Facebook,31.97,13,No
