PromotionID,CampaignName,DiscountPercent,StartDate,EndDate,PromotionType
84,Weekend Campaign 84,40,2025-01-24,2025-02-21,BOGO
85,Mega Campaign 85,40,2023-06-13,2023-06-26,Cashback
86,Winter Campaign 86,50,2023-08-16,2023-09-04,BOGO
87,Mega Campaign 87,95,2025-04-20,2025-05-11,Flat
88,Festive Campaign 88,25,2024-02-13,2024-03-12,BOGO
89,Monsoon Campaign 89,40,2023-12-26,2024-02-03,BOGO
90,Summer Campaign 90,10,2025-08-19,2025-08-27,Flat
91,Festive Campaign 91,5,2024-08-17,2024-09-09,Free Shipping
92,New Year Campaign 92,30,2024-03-20,2024-04-18,Free Shipping
93,Premium Campaign 93,40,2024-06-07,2024-06-21,Flat
94,Mega Campaign 94,40,2023-09-18,2023-09-27,Free Shipping
95,Winter Campaign 95,20,2025-08-05,2025-09-15,Cashback
96,Festive Campaign 96,30,2023-03-13,2023-04-10,BOGO
97,Winter Campaign 97,40,2024-06-03,2024-06-29,Cashback
98,Weekend Campaign 98,15,2024-12-14,2025-01-08,Cashback
99,Premium Campaign 99,15,2024-11-11,2024-12-12,Free Shipping
100,Summer Campaign 100,5,2023-11-05,2023-12-07,BOGO
101,Clearance Campaign 101,30,2023-08-04,2023-09-07,Cashback
102,Flash Campaign 102,50,2024-03-28,2024-04-17,Percentage
103,Festive Campaign 103,30,2023-10-18,2023-11-26,Flat
104,Weekend Campaign 104,20,2024-11-19,2024-12-15,Flat
105,Clearance Campaign 105,20,2023-01-26,2023-02-04,Free Shipping
106,New Year Campaign 106,50,2025-05-20,2025-05-31,Free Shipping
107,New Year Campaign 107,50,2023-07-19,2023-08-19,Flat
108,New Year Campaign 108,10,2023-06-01,2023-06-08,Flat
109,Mega Campaign 109,50,2023-06-30,2023-08-09,Free Shipping
110,Flash Campaign 110,50,2023-09-13,2023-09-27,Cashback
111,Clearance Campaign 111,30,2024-11-14,2024-12-24,Free Shipping
112,Monsoon Campaign 112,40,2025-04-14,2025-05-23,Cashback
113,Clearance Campaign 113,50,2025-07-07,2025-07-24,BOGO
114,Monsoon Campaign 114,25,2025-02-08,2025-03-02,Cashback
115,Clearance Campaign 115,25,2024-10-03,2024-10-25,Percentage
116,Summer Campaign 116,20,2024-12-31,2025-01-25,BOGO
117,Flash Campaign 117,10,2023-11-24,2024-01-04,Flat
118,Weekend Campaign 118,15,2023-08-25,2023-09-25,Percentage
119,Monsoon Campaign 119,30,2024-02-29,2024-04-02,Cashback
120,New Year Campaign 120,20,2024-03-01,2024-03-11,Cashback
121,Premium Campaign 121,5,2025-07-15,2025-08-28,Cashback
122,Summer Campaign 122,30,2024-05-03,2024-05-10,Cashback
123,Clearance Campaign 123,20,2025-05-23,2025-06-25,Flat
124,Mega Campaign 124,50,2023-10-07,2023-11-10,Cashback
125,Clearance Campaign 125,15,2023-12-11,2024-01-12,Flat
126,New Year Campaign 126,5,2024-09-29,2024-11-09,Free Shipping
127,New Year Campaign 127,10,2024-07-31,2024-08-08,Flat
128,Mega Campaign 128,15,2025-06-06,2025-07-12,BOGO
129,Clearance Campaign 129,20,2024-01-24,2024-02-20,BOGO
130,New Year Campaign 130,25,2023-12-12,2024-01-12,BOGO
131,Mega Campaign 131,50,2025-05-04,2025-05-16,Free Shipping
132,Festive Campaign 132,20,2023-02-23,2023-03-24,Percentage
133,Weekend Campaign 133,20,2025-02-11,2025-02-19,Percentage
134,Flash Campaign 134,20,2024-09-28,2024-10-14,Cashback
135,Clearance Campaign 135,20,2024-11-16,2024-11-30,BOGO
136,Premium Campaign 136,15,2025-02-24,2025-03-26,Free Shipping
137,Summer Campaign 137,15,2025-09-13,2025-09-27,Percentage
138,Premium Campaign 138,25,2024-08-15,2024-08-23,Cashback
139,Premium Campaign 139,10,2024-02-11,2024-03-01,Flat
140,Premium Campaign 140,10,2023-04-15,2023-05-11,Percentage
141,Winter Campaign 141,40,2023-12-22,2024-02-01,Percentage
142,New Year Campaign 142,5,2024-06-02,2024-06-30,Cashback
143,Clearance Campaign 143,30,2023-04-19,2023-05-23,Flat
144,Premium Campaign 144,25,2024-03-21,2024-04-08,Free Shipping
145,New Year Campaign 145,50,2025-03-04,2025-04-10,Free Shipping
146,Festive Campaign 146,20,2023-10-02,2023-10-29,BOGO
147,Clearance Campaign 147,20,2025-06-21,2025-07-26,Free Shipping
148,Mega Campaign 148,30,2024-09-16,2024-10-17,Cashback
149,Clearance Campaign 149,15,2025-05-21,2025-06-17,Flat
150,Summer Campaign 150,30,2023-12-30,2024-01-22,Free Shipping
