InventoryID,ProductID,StoreID,StockAvailable,ReorderLevel,LastRestocked
198,896,79,713,813,2025-03-05
199,895,19,278,378,2025-12-17
200,843,47,735,835,2025-01-06
201,52,30,731,831,2023-09-28
202,264,2,573,673,2023-02-23
203,137,36,452,552,2026-03-20
204,743,9,96,196,2025-04-21
205,666,32,194,294,2023-10-31
206,341,38,175,275,2024-12-07
207,417,35,293,393,2023-06-19
208,764,71,394,494,2024-12-15
209,113,64,482,582,2024-06-15
210,749,37,634,734,2025-03-30
211,53,37,96,196,2023-02-08
212,822,70,18,118,2024-10-17
213,376,71,513,613,2024-02-04
214,185,49,631,731,2023-06-15
215,82,50,169,269,2023-08-29
216,955,54,765,865,2025-11-30
217,250,36,577,677,2025-11-19
218,147,44,687,787,2024-08-09
219,78,43,789,889,2023-10-19
220,961,25,792,892,2023-04-01
221,623,79,254,141,2024-12-13
222,955,22,568,41,2025-06-04
223,101,21,318,147,2023-05-08
224,521,61,650,121,2023-06-29
225,79,30,503,63,2025-11-28
226,149,61,340,37,2025-06-04
227,638,70,778,49,2025-06-21
228,397,66,383,58,2024-10-08
229,417,11,203,51,2025-12-27
230,902,41,673,36,2023-03-17
231,315,37,405,59,2023-05-18
232,987,50,734,150,2025-11-15
233,170,75,232,106,2024-04-18
234,144,15,455,120,2025-03-06
235,426,46,299,32,2025-03-19
236,348,29,41,50,2023-11-07
237,383,10,221,31,2023-03-21
238,537,8,715,126,2025-11-02
239,903,78,127,61,2023-12-08
240,104,77,28,64,2025-04-24
241,548,42,607,100,2023-04-13
242,235,74,768,140,2025-09-21
243,790,13,71,124,2025-02-07
244,325,68,592,138,2025-05-24
245,265,26,781,134,2024-05-02
246,73,69,43,131,2023-07-21
247,181,39,735,99,2025-09-14
248,659,78,61,105,2024-01-30
249,870,49,684,125,2023-05-12
250,75,12,543,95,2023-06-10
251,159,38,196,26,2026-02-13
252,799,35,723,120,2024-06-08
253,421,8,506,107,2025-06-02
254,711,48,327,144,2025-11-30
255,225,52,680,107,2024-02-02
256,170,66,474,77,2023-06-03
257,451,34,646,131,2025-01-15
258,545,24,143,105,2025-06-02
259,147,36,329,81,2025-11-06
260,940,74,489,116,2023-01-13
261,323,64,138,94,2024-01-24
262,873,43,660,59,2025-03-26
263,157,65,369,59,2025-12-18
264,883,73,138,57,2025-02-18
265,28,47,575,37,2023-09-14
266,708,20,775,81,2024-09-29
267,822,44,594,140,2025-01-29
268,496,55,561,113,2026-03-30
269,201,78,482,138,2023-02-25
270,195,55,495,24,2023-03-04
271,908,10,35,115,2024-06-04
272,830,10,547,125,2025-11-20
273,764,66,786,85,2023-08-18
274,942,62,467,81,2023-02-23
275,44,79,49,65,2024-11-18
276,414,7,308,49,2025-06-15
277,982,7,452,22,2023-04-05
278,710,56,648,91,2023-05-19
279,28,22,294,87,2024-02-19
280,939,23,376,123,2025-08-17
281,958,73,204,88,2023-06-22
282,108,39,360,91,2025-10-18
283,876,33,163,30,2026-01-16
284,159,1,501,28,2024-08-24
285,193,8,226,146,2023-06-29
286,682,55,210,107,2024-07-15
287,381,17,558,127,2024-04-21
288,808,41,200,26,2025-02-27
289,698,59,165,115,2024-08-06
290,351,29,798,59,2025-05-15
291,270,45,721,114,2025-05-04
292,874,72,47,141,2026-03-22
293,187,17,395,84,2023-02-07
294,554,7,514,114,2025-09-30
295,255,8,194,96,2024-04-08
296,725,16,437,81,2024-02-22
297,429,61,518,92,2023-03-02
298,926,25,553,96,2024-11-16
299,229,56,191,40,2023-10-01
300,367,36,174,72,1900-01-01 00:00:00
301,672,47,306,105,1900-01-01 00:00:00
302,90,52,437,21,1900-01-01 00:00:00
303,234,58,49,56,1900-01-01 00:00:00
304,419,79,365,51,1900-01-01 00:00:00
305,649,66,587,131,1900-01-01 00:00:00
306,442,15,345,63,1900-01-01 00:00:00
307,355,59,145,135,1900-01-01 00:00:00
308,587,77,730,93,1900-01-01 00:00:00
309,370,67,326,73,1900-01-01 00:00:00
310,37,77,728,104,1900-01-01 00:00:00
311,802,11,100,58,1900-01-01 00:00:00
312,181,45,303,102,1900-01-01 00:00:00
313,970,44,406,123,1900-01-01 00:00:00
314,250,75,549,122,1900-01-01 00:00:00
315,263,28,207,136,1900-01-01 00:00:00
316,351,30,5,139,1900-01-01 00:00:00
317,709,80,655,117,1900-01-01 00:00:00
318,90,17,112,107,1900-01-01 00:00:00
319,605,60,454,67,1900-01-01 00:00:00
320,657,56,34,103,1900-01-01 00:00:00
321,481,12,302,39,1900-01-01 00:00:00
322,392,8,772,29,1900-01-01 00:00:00
323,146,14,615,44,1900-01-01 00:00:00
324,351,72,221,83,1900-01-01 00:00:00
325,827,14,608,116,1900-01-01 00:00:00
326,853,51,722,26,1900-01-01 00:00:00
327,723,10,532,49,1900-01-01 00:00:00
328,906,26,592,134,1900-01-01 00:00:00
329,404,11,424,58,1900-01-01 00:00:00
330,401,21,726,111,1900-01-01 00:00:00
331,528,77,457,36,1900-01-01 00:00:00
332,506,23,84,138,1900-01-01 00:00:00
333,710,79,780,47,1900-01-01 00:00:00
334,419,52,687,129,1900-01-01 00:00:00
335,832,5,208,77,1900-01-01 00:00:00
336,308,56,637,113,1900-01-01 00:00:00
337,236,42,67,143,1900-01-01 00:00:00
338,754,40,227,95,1900-01-01 00:00:00
339,978,4,642,125,1900-01-01 00:00:00
340,472,74,65,118,1900-01-01 00:00:00
341,680,80,57,148,1900-01-01 00:00:00
342,970,39,697,41,1900-01-01 00:00:00
343,257,17,613,148,1900-01-01 00:00:00
344,640,5,478,60,1900-01-01 00:00:00
345,402,29,775,103,1900-01-01 00:00:00
346,34,12,306,97,1900-01-01 00:00:00
347,388,26,776,136,1900-01-01 00:00:00
348,446,68,599,62,1900-01-01 00:00:00
349,70,54,794,61,1900-01-01 00:00:00
350,610,22,292,135,1900-01-01 00:00:00
351,553,10,290,33,2023-04-12
352,897,36,576,74,2024-05-07
353,246,68,675,60,2024-05-29
354,493,11,126,23,2023-10-18
355,793,80,398,96,2023-11-07
356,303,19,222,130,2025-09-17
357,235,50,646,48,2025-09-08
358,970,50,547,44,2023-11-28
359,854,34,671,43,2023-08-01
360,937,62,120,25,2024-09-15
361,442,14,353,21,2026-03-25
362,139,26,731,102,2023-12-25
363,811,17,331,89,2025-11-30
364,696,61,251,35,2023-02-18
365,482,58,663,121,2023-05-01
366,526,25,571,56,2025-04-11
367,543,74,691,32,2025-08-31
368,860,62,674,54,2024-07-20
369,869,59,727,83,2023-04-23
370,899,62,4,44,2025-06-17
371,211,3,308,66,2024-09-05
372,640,6,73,57,2025-03-24
373,930,8,355,94,2024-11-15
374,714,33,25,76,2025-11-19
375,595,71,213,41,2023-09-28
376,689,71,127,113,2023-10-02
377,556,43,519,126,2026-01-26
378,859,51,401,21,2025-01-18
379,727,46,254,145,2023-10-22
380,1000,76,542,92,2024-12-09
381,745,60,245,134,2025-11-13
382,824,65,387,104,2024-03-20
383,193,67,518,63,2023-02-06
384,646,4,100,35,2025-08-14
385,839,50,771,47,2025-04-02
386,331,54,65,39,2025-11-05
387,801,59,294,146,2024-01-27
388,11,51,659,32,2023-02-22
389,47,39,795,121,2024-04-30
390,422,53,232,92,2024-04-28
391,48,34,47,78,2025-10-19
392,721,31,34,111,2024-10-04
393,544,1,238,107,2023-12-20
394,231,61,710,90,2025-01-13
395,717,47,692,106,2025-03-31
396,391,60,203,84,2023-11-23
397,725,33,413,84,2025-01-17
398,244,10,538,72,2025-08-10
399,721,38,640,149,2025-06-15
400,385,3,621,129,2023-06-27
401,402,51,38,150,2023-10-11
402,279,20,609,112,2025-11-20
403,8,75,193,95,2023-04-12
404,938,45,700,25,2023-08-01
405,141,43,163,86,2024-01-28
406,984,30,537,98,2023-11-17
407,601,15,792,25,2024-07-07
408,80,65,1,136,2023-04-03
409,338,29,751,51,2025-01-29
410,106,49,150,148,2025-09-30
411,83,15,359,49,2023-03-31
412,831,37,19,99,2023-04-29
413,996,33,133,88,2025-10-05
414,990,29,566,64,2024-11-03
415,236,79,227,67,2023-12-23
416,85,30,165,20,2024-02-03
417,34,48,328,143,2024-07-16
418,462,22,501,55,2025-06-22
419,796,2,225,41,2025-01-07
420,705,57,455,107,2023-06-09
421,775,29,653,24,2023-02-11
422,482,78,533,131,2024-01-04
423,328,43,92,61,2025-08-24
424,380,58,133,78,2024-06-21
425,515,48,312,143,2024-01-02
426,479,76,277,134,2023-04-13
427,308,55,445,52,2024-04-23
428,449,16,646,40,2024-04-01
429,610,29,448,82,2024-01-11
430,49,51,368,60,2026-01-06
431,531,40,485,77,2024-01-17
432,479,31,139,128,2026-01-03
433,499,42,177,89,2023-08-29
434,834,12,671,95,2025-02-09
435,524,45,650,85,2025-03-05
436,130,1,558,144,2024-02-06
437,566,21,225,55,2024-04-11
438,560,39,251,101,2023-11-14
439,373,17,186,114,2025-08-18
440,922,48,52,46,2026-03-29
441,163,37,142,64,2025-09-06
442,361,55,681,44,2024-10-26
443,633,36,279,103,2023-08-19
444,737,57,581,98,2024-10-10
445,149,49,157,90,2025-01-20
446,505,3,34,105,2024-06-24
447,911,72,172,92,2025-03-22
448,140,72,583,49,2026-03-06
449,858,20,580,90,2023-02-06
450,840,59,680,144,2026-03-11
451,713,59,787,98,2023-04-01
452,944,19,335,93,2025-09-27
453,647,33,576,73,2024-07-15
454,587,23,640,130,2023-08-29
455,952,80,708,63,2024-05-09
456,941,19,346,90,2024-07-14
457,156,20,736,87,2023-09-17
458,893,68,233,59,2025-08-30
459,455,77,779,138,2023-11-16
460,6,56,755,121,2025-07-13
461,414,28,597,47,2023-03-01
462,202,53,327,101,2024-04-23
463,59,24,715,144,2023-12-19
464,884,2,570,77,2025-09-16
465,255,11,730,72,2024-04-17
466,657,79,382,74,2024-07-16
467,756,72,122,32,2023-05-12
468,209,51,275,34,2023-11-22
469,63,55,418,143,2024-09-27
470,481,60,548,117,2025-09-02
471,8,53,566,63,2025-06-25
472,172,7,612,117,2024-09-22
473,156,52,618,23,2024-08-08
474,219,19,179,131,2023-05-05
475,476,77,147,24,2024-01-24
476,489,24,600,119,2024-04-11
477,570,40,194,86,2024-06-24
478,239,76,569,121,2025-12-05
479,661,58,238,23,2025-03-09
480,226,63,718,23,2024-04-01
481,153,61,675,150,2023-01-07
482,784,29,696,142,2025-04-20
483,88,58,77,33,2026-02-10
484,656,17,204,111,2023-05-29
485,563,45,394,129,2023-02-19
486,692,69,752,79,2024-10-16
487,89,63,38,22,2023-11-27
488,834,52,624,112,2023-07-05
489,985,38,52,78,2023-01-12
490,863,70,427,33,2025-07-18
491,622,50,675,118,2023-10-19
492,45,2,467,148,2023-06-24
493,77,26,363,40,2024-04-21
494,688,52,180,122,2025-10-22
495,726,1,141,109,2025-01-31
496,697,29,472,118,2025-03-07
497,899,36,64,124,2024-08-26
498,836,34,187,135,2023-08-03
499,879,5,96,150,2025-04-12
500,54,20,119,60,2024-09-14
501,880,61,256,55,2025-03-26
502,189,71,309,71,2024-05-26
503,73,57,450,43,2025-08-27
504,948,2,239,106,2023-10-04
505,590,2,608,122,2025-09-18
506,313,20,375,116,2024-09-30
507,414,16,378,100,2025-12-29
508,717,40,261,120,2023-03-02
509,938,51,364,43,2025-02-17
510,264,65,224,41,2025-03-03
511,188,79,43,104,2025-01-27
512,237,20,55,79,2023-01-17
513,626,21,439,65,2025-12-12
514,268,3,283,88,2023-05-04
515,885,69,519,95,2023-09-20
516,558,43,554,51,2024-12-01
517,756,45,797,147,2024-07-05
518,898,47,20,110,2024-03-22
519,920,21,765,126,2023-01-31
520,441,18,234,72,2023-06-25
521,59,69,633,131,2024-06-25
522,512,80,295,92,2023-03-19
523,566,56,702,65,2023-05-21
524,740,56,599,130,2023-09-26
525,100,5,771,25,2023-12-04
526,92,26,114,28,2025-07-21
527,263,13,509,25,2023-08-28
528,987,10,559,142,2023-02-06
529,746,12,563,148,2024-11-30
530,97,13,192,89,2023-04-24
531,899,20,765,79,2024-07-17
532,769,12,792,86,2025-11-17
533,277,39,119,43,2025-12-15
534,551,75,231,69,2023-02-03
535,57,2,530,27,2025-11-02
536,713,54,555,26,2023-02-06
537,160,79,583,130,2023-05-07
538,915,30,221,69,2023-07-15
539,639,46,469,83,2026-04-11
540,204,37,73,58,2023-03-04
541,15,70,306,79,2024-05-16
542,439,59,318,20,2025-02-04
543,594,34,349,28,2023-07-02
544,121,30,40,48,2025-08-06
545,673,47,518,60,2023-04-27
546,465,69,733,128,2023-02-13
547,510,21,452,150,2023-10-20
548,522,17,215,20,2024-05-09
549,874,49,148,98,2025-11-12
550,440,3,99,143,2025-03-16
551,994,48,177,140,2024-01-15
552,303,51,264,115,2024-07-31
553,38,32,695,117,2023-01-27
554,690,50,721,140,2025-01-27
555,524,18,513,28,2025-08-03
556,62,32,219,42,2023-10-16
557,648,54,217,57,2025-05-01
558,58,3,256,143,2025-12-04
559,595,53,341,103,2025-03-26
560,760,42,301,129,2023-09-03
561,944,56,662,48,2023-09-07
562,795,27,54,24,2023-04-11
563,545,22,147,70,2024-05-15
564,996,11,661,44,2025-04-01
565,987,55,0,109,2024-03-05
566,177,34,419,125,2024-12-11
567,951,29,744,81,2025-10-31
568,9,3,249,20,2023-06-27
569,512,77,760,33,2025-11-11
570,590,76,554,87,2025-11-06
571,154,40,438,122,2023-11-21
572,356,37,551,77,2023-07-16
573,150,28,542,142,2024-07-24
574,643,21,207,136,2024-02-17
575,222,22,116,90,2025-06-02
576,361,60,297,23,2026-02-06
577,314,57,307,36,2025-04-08
578,698,56,365,58,2026-03-21
579,420,56,546,48,2024-02-17
580,855,5,764,55,2024-07-23
581,796,74,449,130,2023-10-31
582,221,48,741,76,2023-07-31
583,634,16,735,46,2024-02-06
584,742,61,114,77,2025-06-26
585,772,5,796,38,2025-11-30
586,506,73,765,97,2025-03-13
587,696,10,286,70,2025-09-15
588,508,56,616,103,2025-11-09
589,680,44,642,92,2025-08-05
590,587,43,791,34,2025-08-30
591,45,78,680,95,2024-04-03
592,767,71,626,143,2025-11-23
593,629,37,357,47,2024-12-09
594,490,28,80,104,2024-07-24
595,330,26,241,59,2024-01-13
596,378,71,45,149,2024-10-15
597,951,17,31,100,2023-03-18
598,966,55,544,122,2025-02-06
599,102,76,720,55,2025-12-06
600,200,71,521,83,2023-12-19
601,708,52,534,48,2023-04-18
602,15,29,165,60,2023-09-29
603,611,2,561,134,2023-04-20
604,449,72,69,58,2023-09-07
605,483,12,602,82,2023-11-29
606,963,41,289,52,2025-07-19
607,533,17,333,115,2024-09-21
608,935,78,371,122,2023-07-06
609,660,50,348,40,2023-05-25
610,776,8,621,103,2024-10-07
611,142,36,493,79,2023-12-25
612,445,56,648,38,2025-09-19
613,204,43,385,98,2026-02-12
614,627,53,183,124,2024-10-16
615,8,34,50,103,2024-09-20
616,892,49,688,146,2025-01-23
617,589,80,377,85,2025-03-25
618,856,52,714,121,2025-03-19
619,478,45,392,92,2023-09-16
620,855,25,598,67,2025-08-17
621,36,50,800,44,2024-05-10
622,830,30,103,22,2024-02-17
623,868,28,175,142,2025-10-02
624,460,10,773,41,2024-08-04
625,769,25,596,136,2023-06-13
626,563,38,132,24,2025-07-12
627,835,63,210,116,2025-01-15
628,563,56,470,48,2024-05-11
629,711,29,593,75,2026-01-19
630,665,18,420,108,2023-12-30
631,80,12,161,119,2025-06-25
632,374,34,448,141,2023-06-13
633,340,29,35,121,2025-05-16
634,701,41,139,69,2023-01-16
635,527,77,108,106,2026-01-08
636,904,65,180,78,2025-07-26
637,729,46,278,71,2024-06-07
638,431,74,37,53,2025-05-14
639,438,76,286,36,2023-01-18
640,69,5,262,32,2024-09-22
641,504,78,97,60,2023-02-24
642,117,43,616,23,2024-05-26
643,15,60,44,124,2024-11-21
644,716,31,5,79,2026-04-13
645,998,67,214,53,2024-12-13
646,21,14,339,98,2025-06-10
647,179,80,60,36,2023-03-19
648,840,13,395,84,2024-03-29
649,585,10,770,28,2023-05-27
650,402,50,281,75,2024-11-10
651,156,60,213,60,2023-08-27
652,584,70,619,133,2025-09-03
653,685,62,590,101,2024-08-12
654,235,79,582,75,2025-02-04
655,420,58,774,131,2023-08-19
656,583,55,581,107,2025-01-19
657,793,65,529,116,2025-04-01
658,853,18,651,61,2024-04-12
659,253,36,433,85,2025-01-16
660,223,18,11,103,2024-09-15
661,975,31,460,85,2023-09-24
662,19,71,751,57,2023-07-14
663,847,46,796,150,2025-03-01
664,110,45,639,55,2024-06-29
665,729,68,572,132,2024-04-01
666,912,50,180,145,2023-10-07
667,66,1,437,64,2023-03-17
668,428,19,485,119,2023-10-30
669,783,71,270,74,2026-01-17
670,804,74,71,41,2025-04-24
671,553,15,255,117,2024-02-04
672,380,47,4,107,2023-04-14
673,269,9,673,59,2024-01-16
674,908,25,740,84,2025-05-16
675,117,42,334,111,2025-12-06
676,882,50,710,66,2023-03-07
677,660,54,713,64,2024-01-18
678,522,41,574,67,2025-06-29
679,517,32,526,93,2025-04-01
680,902,2,50,52,2024-11-28
681,81,5,214,71,2025-10-15
682,152,72,690,85,2025-05-12
683,68,78,311,21,2025-04-15
684,471,55,499,115,2023-02-02
685,642,80,429,64,2025-07-12
686,162,75,174,46,2024-08-19
687,407,37,138,132,2023-09-20
688,108,41,633,27,2024-04-07
689,604,49,382,65,2024-08-05
690,730,23,712,148,2025-03-13
691,230,1,559,131,2024-05-26
692,133,34,33,135,2023-08-27
693,482,54,31,55,2024-03-30
694,680,60,711,36,2024-07-24
695,736,34,774,89,2025-07-07
696,280,55,6,83,2025-10-28
697,874,14,105,40,2024-07-06
698,278,78,674,86,2024-02-11
699,789,55,412,129,2025-09-01
700,51,78,345,63,2024-12-19
701,684,19,636,37,2025-03-17
702,711,34,769,92,2025-08-22
703,150,18,429,127,2023-03-14
704,163,13,715,35,2023-07-08
705,249,46,242,46,2025-02-19
706,336,8,188,121,2025-08-12
707,818,77,473,77,2024-07-24
708,295,56,166,58,2023-10-28
709,803,53,2,119,2025-06-27
710,238,37,441,81,2024-11-24
711,523,41,69,42,2024-09-09
712,929,57,477,132,2024-02-18
713,763,46,70,129,2025-07-04
714,100,61,756,79,2023-07-14
715,267,44,624,109,2025-10-27
716,722,30,348,87,2025-03-23
717,807,76,225,125,2024-08-19
718,891,79,590,79,2026-04-06
719,378,56,328,97,2024-06-09
720,158,27,65,33,2026-03-18
721,383,57,456,96,2025-07-10
722,507,11,341,62,2024-08-15
723,924,49,547,117,2024-03-06
724,495,48,555,89,2025-12-28
725,952,38,152,133,2025-12-06
726,419,27,207,102,2025-07-19
727,50,3,130,42,2024-08-23
728,398,27,216,119,2023-12-11
729,802,6,524,146,2023-06-19
730,424,22,88,110,2025-08-25
731,756,8,533,96,2024-12-06
732,3,9,680,90,2024-11-24
733,689,62,494,136,2024-01-02
734,968,58,1,146,2025-11-02
735,570,2,400,65,2023-06-18
736,643,34,481,54,2024-09-25
737,624,31,562,62,2024-10-16
738,891,61,175,117,2024-06-23
739,736,64,235,48,2023-08-26
740,295,34,397,118,2023-02-18
741,102,68,267,23,2024-01-22
742,879,27,708,125,2023-05-02
743,689,36,532,51,2024-05-15
744,784,45,436,110,2023-07-20
745,827,15,707,132,2024-03-10
746,662,12,363,42,2024-11-30
747,258,48,108,129,2024-07-31
748,416,5,110,84,2024-07-02
749,416,13,574,140,2026-04-03
750,489,16,578,134,2024-12-21
751,427,5,794,87,2024-10-15
752,619,69,235,120,2024-09-02
753,317,4,555,32,2025-03-07
754,511,53,783,120,2023-11-11
755,303,35,783,65,2025-06-01
756,175,4,38,144,2025-04-10
757,414,64,661,130,2025-11-11
758,689,13,324,136,2023-04-10
759,714,77,454,118,2023-06-27
760,876,50,149,67,2023-05-14
761,167,20,229,114,2023-01-12
762,968,9,92,109,2025-12-06
763,546,70,301,133,2025-09-01
764,636,64,443,39,2023-11-16
765,448,52,693,145,2024-09-29
766,829,47,431,78,2024-02-03
767,671,55,748,62,2024-04-20
768,712,49,572,117,2024-02-07
769,180,20,424,38,2023-12-10
770,895,3,771,116,2023-06-27
771,613,2,307,150,2023-06-08
772,844,51,327,72,2024-09-28
773,60,54,73,98,2023-01-20
774,402,61,158,40,2025-07-20
775,181,12,250,56,2024-10-13
776,312,63,234,60,2025-02-22
777,431,37,742,113,2024-08-27
778,875,54,455,97,2023-06-07
779,145,14,498,117,2023-06-18
780,924,77,530,118,2025-04-12
781,530,55,240,126,2024-03-26
782,51,50,256,72,2025-03-22
783,592,42,200,63,2026-04-08
784,202,28,636,122,2024-01-06
785,975,60,137,108,2023-03-21
786,238,23,16,77,2024-03-13
787,150,30,687,32,2023-11-19
788,433,29,542,27,2024-04-08
789,4,44,328,127,2025-06-16
790,30,67,707,93,2024-04-01
791,703,8,363,145,2023-11-30
792,912,49,495,28,2026-02-09
793,559,12,744,111,2024-10-15
794,306,60,424,125,2025-12-18
795,72,49,344,118,2024-07-07
796,52,37,706,50,2023-09-14
797,856,56,301,89,2025-08-07
798,650,1,445,49,2023-01-12
