ProductID,ProductName,CategoryID,SupplierID,Brand,CostPrice,SellingPrice,LaunchDate,Rating,Status
39,Maybelline Body Lotion,14,58,Maybelline,33496.51,38726.98,3/4/2021,4.6,Active
40,Adidas Formal Shirt,3,65,Adidas,25113.24,34038.51,7/10/2023,3.9,Active
41,Amul Olive Oil,6,170,Amul,27520.99,40136.92,2/8/2025,4,Active
42,Aashirvaad Olive Oil,15,67,Aashirvaad,1395.66,1836.55,4/19/2022,3.6,Active
43,Penguin SQL Cookbook,17,96,Penguin,42544.84,56622.98,6/15/2025,4.6,Active
44,Penguin Statistics Essentials,17,70,Penguin,48894.43,77327.58,9/17/2023,3.6,Active
45,Apple iPhone 15 Pro,10,71,Apple,22280.87,32303.8,3/24/2024,4.5,Active
46,Havells Air Fryer,13,83,Havells,28587.74,38566.5,1/1/2028,4.5,Active
47,Funskool Puzzle Set,9,129,Funskool,48505.9,58379.36,4/27/2022,3.6,Active
48,Wilson Cricket Bat,16,147,Wilson,572.46,635.35,6/7/2025,3.8,Active
49,Asus Bluetooth Speaker,19,192,Asus,53054.34,60955.38,3/18/2022,3.7,Active
50,HarperCollins SQL Cookbook,8,11,HarperCollins,49854.17,69545.78,3/15/2021,4.1,Active
51,Tata Almonds,6,40,Tata,44301.35,61299.94,9/11/2021,3.8,Active
52,Acer Galaxy S24 Ultra,19,195,Acer,23827.49,28190.76,3/28/2021,3.4,Active
53,Aashirvaad Organic Honey,6,137,Aashirvaad,4214.81,5533.39,3/1/2028,4.3,Active
54,McGraw Hill Python for Data Analysis,8,1,McGraw Hill,34647.65,40745.35,9/21/2022,4.8,Active
55,Philips Mixer Grinder,4,122,Philips,32234.77,47168.03,3/5/2022,3.4,Active
56,Acer Bluetooth Speaker,1,99,Acer,14554.35,21817.78,4/8/2025,4.4,Active
57,Sony Bluetooth Speaker,19,24,Sony,28753.71,45284.39,3/30/2025,3.5,Active
58,Nivia Badminton Racket,16,128,Nivia,47023.09,57116.6,6/18/2025,3.6,ACTIVE
59,IFB Air Fryer,13,113,IFB,44794.47,60041.79,4/14/2023,4.6,Active
60,Urban Ladder Bookshelf,2,64,Urban Ladder,10740.75,14868.25,2/11/2025,4.9,Active
61,Bosch Air Purifier,13,16,Bosch,31752.44,46598.94,6/26/2025,3.9,Active
62,Nilkamal Coffee Table,11,161,Nilkamal,40981.14,48043.98,2/11/2022,4.9,Active
63,Allen Solly Running Shoes,3,132,Allen Solly,33333.42,40033.35,4/21/2025,4,Active
64,Tata Green Tea,6,36,Tata,49045.15,58956.12,1/11/2024,4.8,Active
65,Whirlpool Air Purifier,13,172,Whirlpool,30486.83,37361.37,4/1/2028,4.7,Active
66,Whirlpool Vacuum Cleaner,13,113,Whirlpool,16899.63,25268.57,4/30/2022,4.2,Active
67,Durian Coffee Table,20,113,Durian,11350.69,15377.84,9/7/2023,4.2,Active
68,Penguin Statistics Essentials,8,2,Penguin,27919.56,42504.14,11/18/2025,4.2,Active
69,Lakme Face Wash,14,184,Lakme,51648.78,80407.47,1/2/2021,5,Active
70,Lenovo OLED TV,19,73,Lenovo,716.69,986.57,12/14/2023,4.3,Active
71,Godrej Study Table,2,48,Godrej,40086.39,45394.32,9/22/2022,3.9,Active
72,Tata Olive Oil,15,198,Tata,37509.79,59626.08,10/31/2022,4.3,Active
73,Aashirvaad Green Tea,6,129,Aashirvaad,46723.69,55325.58,4/29/2024,0,Active
74,Asus Noise Cancelling Headphones,19,109,Asus,16254.81,24130.55,2/13/2022,4.2,Active
75,Nivea Face Wash,5,96,Nivea,33842.61,40411.55,12/12/2023,3.4,Active
76,Nivea Body Lotion,14,98,Nivea,31849.35,46407.84,7/27/2023,4.3,Active
77,Penguin SQL Cookbook,8,117,Penguin,25370.81,38878.93,2/25/2025,3.9,Active
78,Nike Sports Jacket,3,102,Nike,13114.34,17671.76,7/21/2024,4.7,Active
79,Godrej Coffee Table,2,197,Godrej,53105.28,83406.71,3/13/2024,4.5,Active
80,Philips Vacuum Cleaner,4,162,Philips,33607.15,50130.05,1/2/2021,4,Active
81,McGraw Hill Power BI Guide,17,192,McGraw Hill,43489.75,51855.07,6/6/2024,3.2,
82,Tata Basmati Rice,15,145,Tata,44579.05,67666.92,6/5/2021,3.2,Active
83,JBL Bluetooth Speaker,10,15,JBL,14147.64,20155.25,8/23/2021,3.7,Active
84,Nilkamal Dining Table,20,126,Nilkamal,56429.37,87492.32,8/9/2022,4.5,Inactive
85,Godrej Study Table,2,118,Godrej,28376.35,38593.14,10/14/2022,4.5,Active
86,Cosco Yoga Mat,16,76,Cosco,23321.96,30617.05,7/6/2025,4.2,Active
87,Aashirvaad Almonds,6,136,Aashirvaad,45010.24,59273.58,10/24/2022,4.6,Active
88,Wilson Badminton Racket,7,77,Wilson,13585.52,20528.47,4/5/2022,3.3,Active
89,Amul Basmati Rice,15,25,Amul,9236.91,12375.54,5/12/2025,4.4,Active
90,IKEA Dining Table,20,19,IKEA,16981.36,25474.61,8/26/2022,4.7,Active
91,Tata Olive Oil,15,146,Tata,45775.89,71164.01,10/12/2025,4.3,Active
92,HarperCollins Python for Data Analysis,8,25,HarperCollins,35507.56,44661.04,3/5/2021,4.8,Active
93,L'Oréal Lipstick,14,63,L'Oréal,34247.27,43289.19,6/6/2022,3.5,Active
94,McGraw Hill Python for Data Analysis,17,22,McGraw Hill,27797.94,37964.46,3/15/2021,3.3,Active
95,Godrej Coffee Table,20,79,Godrej,31742.16,50423.93,12/10/2023,4.8,Active
96,Durian Dining Table,2,33,Durian,7774.55,11208.59,4/29/2021,3.7,Active
97,Cosco Yoga Mat,7,154,Cosco,28349.87,35924.19,6/5/2021,5.8,Active
98,Amul Green Tea,15,84,Amul,59034.51,92825.33,10/20/2021,3.8,Active
99,HP Bluetooth Speaker,10,164,HP,44388.07,54825.4,11/8/2021,3.6,Active
100,Nivea Perfume,14,131,Nivea,47982.75,38386.2,5/7/2024,4.5,Active
101,Amul Basmati Rice,6,109,Amul,48862.82,39090.26,2/25/2024,4.4,Active
102,Hasbro Building Blocks,18,14,Hasbro,24150.61,36395.37,8/18/2025,4.9,Active
103,Fortune Organic Honey,6,129,Fortune,12019.19,18073.11,3/27/2023,4.6,Active
104,Acer Mechanical Keyboard,19,59,Acer,50351.28,61936.13,11/21/2023,3.8,Active
105,JBL Smart Watch,10,110,JBL,6550.06,8080.12,3/1/2025,3.5,Active
106,Tata Almonds,15,139,Tata,55527.7,75327.56,5/28/2022,3.6,Active
107,Mamaearth Shampoo,5,167,Mamaearth,9314.18,13639.52,12/12/2021,4.9,Active
108,LG iPhone 15 Pro,1,97,LG,28583.99,45647.03,12/24/2024,4.4,Active
109,Dell Gaming Mouse,19,56,Dell,833.38,962.73,10/19/2022,4,Active
110,Apple OLED TV,19,131,Apple,20362.38,25103.89,5/12/2023,4.3,Active
111,Philips Air Purifier,13,32,Philips,58263.45,66657.93,7/20/2021,3.8,Active
112,Urban Ladder Study Table,11,62,Urban Ladder,57830.62,66702.54,8/9/2021,4.5,Active
113,Lego Action Figure,18,99,Lego,18793.23,26255.72,11/29/2022,5,Active
114,Nivia Cricket Bat,7,53,Nivia,16385.89,18513.9,8/12/2022,3.6,Active
115,Fortune Olive Oil,6,64,Fortune,56140.52,74964.82,6/19/2024,4.7,Active
116,Allen Solly Hoodie,3,28,Allen Solly,6470.36,7779.21,7/6/2023,3.4,Active
117,Urban Ladder Dining Table,20,139,Urban Ladder,20859.46,25507.31,3/25/2022,4.5,Active
118,Yonex Cricket Bat,7,90,Yonex,52711.56,68239.03,1/17/2024,4.1,Active
119,L'Oréal Perfume,14,174,L'Oréal,18561.74,27296.96,2/1/2022,3.7,Active
120,McGraw Hill Python for Data Analysis,8,151,McGraw Hill,22803.89,35419.56,12/19/2021,4.1,Active
121,McGraw Hill Power BI Guide,8,84,McGraw Hill,26634.31,39801.69,1/27/2022,4.7,Active
122,Cosco Badminton Racket,7,193,Cosco,8261.54,9320.15,6/21/2023,3.2,Active
123,Maybelline Face Wash,5,194,Maybelline,13463.28,18413.36,5/16/2024,4.5,Active
124,L'Oréal Face Wash,5,25,L'Oréal,7266.63,10664.07,8/13/2025,3.6,Active
125,McGraw Hill SQL Cookbook,8,19,McGraw Hill,54398.24,78869.06,12/25/2022,3.2,Active
126,L'Oréal Shampoo,5,97,L'Oréal,20158.09,25140.78,3/23/2022,4.9,Active
127,Whirlpool Microwave Oven,4,88,Whirlpool,6589.91,9911.58,3/7/2023,4.3,Active
128,Amul Basmati Rice,6,73,Amul,36072.94,50777.49,4/15/2025,4.2,Active
129,Lenovo Gaming Mouse,10,38,Lenovo,25642.99,38367.03,11/20/2023,3.5,Active
130,Puma Slim Fit Jeans,12,156,Puma,50309.25,69057.67,5/23/2025,4.3,Active
131,Havells Vacuum Cleaner,13,73,Havells,39716.36,52283.35,11/29/2025,4.4,Active
132,Adidas Hoodie,12,41,Adidas,23452.29,33201.7,1/19/2025,4.9,Active
133,McGraw Hill SQL Cookbook,8,199,McGraw Hill,33927.4,27141.92,5/20/2023,4.9,Active
134,Penguin SQL Cookbook,17,18,Penguin,23317.49,26051.84,5/8/2024,3.5,Active
135,Durian Study Table,2,61,Durian,59617.73,72799.9,10/10/2024,4.4,Active
136,Fortune Almonds,15,82,Fortune,24351.67,33987.61,7/9/2021,3.9,Active
137,IKEA Bookshelf,20,5,IKEA,11215.6,17803.07,9/13/2024,4.1,Active
138,McGraw Hill SQL Cookbook,8,23,McGraw Hill,4644.64,6870.63,3/2/2024,3.8,Active
139,IKEA Dining Table,2,29,IKEA,26628.18,31591.42,12/15/2024,3.8,Active
140,Fortune Olive Oil,6,79,Fortune,30649.56,42703.47,1/3/2023,3.4,Active
141,Cosco Badminton Racket,7,39,Cosco,41418.43,49720.74,12/28/2022,3.7,Active
142,Whirlpool Mixer Grinder,4,93,Whirlpool,13615.98,21001.33,9/20/2022,4.9,Active
143,Dell Galaxy S24 Ultra,1,8,Dell,28923.39,37883.11,12/17/2024,4,Active
144,IKEA Study Table,20,126,IKEA,8022.22,10214.98,11/11/2022,3.4,Active
145,Lenovo Inspiron Laptop,1,198,Lenovo,38302.74,44028.9,8/6/2024,3.7,Active
146,Yonex Football,16,29,Yonex,32040.55,49850.62,10/16/2024,3.8,Active
147,HarperCollins Statistics Essentials,8,61,HarperCollins,12126.78,18574.01,1/23/2023,3.6,Active
148,Cosco Yoga Mat,7,165,Cosco,26880.27,30830.93,12/31/2024,3.5,Active
149,Lakme Face Wash,5,90,Lakme,21809.65,25628.24,2/1/2028,3.6,Active
150,Wilson Football,16,130,Wilson,45929.96,66410.55,8/1/2024,3.5,Active
151,Hasbro Building Blocks,18,21,Hasbro,45809.92,58863.79,8/23/2021,3.6,Active
152,McGraw Hill Python for Data Analysis,8,24,McGraw Hill,33011.54,50560.85,12/14/2024,3.9,Active
153,Wilson Badminton Racket,7,66,Wilson,52056.69,59190.06,7/11/2022,4.4,ACTIVE
154,Nivia Football,16,101,Nivia,13491.97,19037.44,7/14/2024,3.9,Active
155,Lego Building Blocks,9,116,Lego,23971.74,30733.44,7/11/2023,3.6,Active
156,L'Oréal Body Lotion,5,114,L'Oréal,12578,16399.3,11/8/2024,4.7,Active
157,IKEA Dining Table,2,121,IKEA,55706.28,84563.22,6/1/2024,5,Active
158,HarperCollins Power BI Guide,17,65,HarperCollins,40295.56,63683.09,12/14/2024,3.4,Active
159,Amul Green Tea,15,160,Amul,36555.66,54810.43,8/22/2025,4.9,Active
160,Aashirvaad Organic Honey,15,63,Aashirvaad,57101.95,65446.48,1/16/2023,3.5,Active
161,Nilkamal Study Table,20,107,Nilkamal,54870.98,80465.46,3/13/2024,4.2,Active
162,Lego Puzzle Set,9,176,Lego,40844.94,64784.82,11/21/2021,4.1,Active
163,HarperCollins Power BI Guide,17,157,HarperCollins,32446.14,43800.15,6/28/2024,4.6,Active
164,Godrej Dining Table,2,13,Godrej,4243.76,6607.3,4/12/2025,4.6,Active
165,Allen Solly Sneakers,12,184,Allen Solly,50473.49,59558.2,1/19/2025,3.9,Active
166,Wilson Yoga Mat,16,179,Wilson,29479.26,46032.65,4/21/2022,3.7,Active
167,Funskool Action Figure,18,98,Funskool,7542.9,9958.94,7/12/2022,3.2,Active
168,Havells Air Purifier,13,188,Havells,33552.54,49806.42,1/25/2023,3.9,Active
169,Aashirvaad Almonds,15,131,Aashirvaad,3776.29,4320.41,8/9/2021,3.4,Active
170,Funskool Action Figure,9,130,Funskool,28711.56,39897.88,9/1/2021,3.7,Active
171,Sony OLED TV,10,148,Sony,8424.13,11426.06,5/1/2028,4.1,Active
172,Funskool Action Figure,18,39,Funskool,4909.46,6923.24,4/18/2023,4.2,Active
173,Lego Remote Control Car,9,52,Lego,4179.99,4789.35,2/26/2024,3.9,Active
174,Penguin Statistics Essentials,8,179,Penguin,22071.23,33015.28,7/27/2021,3.8,Active
175,Yonex Badminton Racket,16,143,Yonex,28801.79,37501.73,12/3/2021,3.3,Active
176,Penguin SQL Cookbook,8,85,Penguin,52490.92,82756.24,7/10/2023,3.4,Active
177,Hasbro Puzzle Set,9,47,Hasbro,3639.73,4673.71,7/14/2021,3.5,Active
178,Amul Olive Oil,15,30,Amul,37963.4,51953.01,5/20/2022,4.3,Active
179,Lakme Shampoo,14,182,Lakme,28607.4,36054.54,3/25/2025,4.5,Active
180,Whirlpool Air Fryer,13,85,Whirlpool,10645.68,14439.42,4/6/2024,3.8,Active
181,Wilson Badminton Racket,16,106,Wilson,37792.3,44910.16,8/5/2023,3.3,Active
182,Adidas Sneakers,3,125,Adidas,46806.46,62094.08,11/21/2025,3.7,Active
183,Godrej Coffee Table,20,96,Godrej,58712.18,72245.27,2/14/2023,4.2,Active
184,IFB Air Purifier,4,6,IFB,48159.42,53511.39,8/20/2025,0,Active
185,Tata Olive Oil,6,63,Tata,18059.36,22511.5,3/1/2021,4.6,Active
186,Samsung Bluetooth Speaker,1,150,Samsung,19418.2,26376.24,9/26/2021,4.6,Active
187,Hasbro Remote Control Car,18,11,Hasbro,20915.33,31015.93,2/26/2025,4.4,Active
188,Godrej Study Table,2,178,Godrej,27594.55,39309.68,1/14/2024,3.6,Active
189,Wilson Cricket Bat,16,43,Wilson,58966.94,76882.39,3/29/2021,3.2,Active
190,Nivea Perfume,14,145,Nivea,33217.56,49824.72,8/23/2024,3.4,Active
191,Aashirvaad Almonds,15,139,Aashirvaad,8584.13,11032.7,9/18/2022,3.5,ACTIVE
192,JBL Mechanical Keyboard,1,73,JBL,49464.72,63470.27,9/28/2024,3.4,Active
193,Hasbro Action Figure,18,197,Hasbro,32049.87,41059.39,5/8/2021,4.5,Active
194,Bosch Mixer Grinder,4,56,Bosch,38678.01,46927.14,7/20/2023,3.5,Active
195,Allen Solly Running Shoes,12,149,Allen Solly,3499.39,5081.08,11/15/2023,0,Active
196,Asus Smart Watch,10,82,Asus,10862.87,16365.16,3/17/2024,4.8,Active
197,JBL Bluetooth Speaker,1,148,JBL,35827.69,46001.27,5/23/2025,4.1,Active
198,Nivia Badminton Racket,16,114,Nivia,6856.13,8948.96,11/2/2021,4.1,Active
199,HP Galaxy S24 Ultra,10,84,HP,2699.57,3081.58,4/30/2023,4.4,Active
200,Aashirvaad Green Tea,15,167,Aashirvaad,53030.08,77365.16,11/2/2023,4.8,Active
201,LG Bluetooth Speaker,1,55,LG,14127.06,21303.15,9/7/2025,4.5,Active
202,Lego Building Blocks,9,194,Lego,46717.32,54238.28,5/28/2025,3.4,Active
203,Godrej Dining Table,20,75,Godrej,2804.8,4244.14,9/10/2024,4.9,Active
204,Nilkamal Office Chair,11,137,Nilkamal,50049.08,70375.33,12/24/2023,4.4,Active
205,IKEA Wardrobe,20,28,IKEA,55502.6,69943.2,2/6/2022,3.9,Active
206,Nivia Badminton Racket,7,61,Nivia,51782.81,74508.52,11/2/2022,4.9,Active
207,Penguin Python for Data Analysis,8,47,Penguin,40388.35,44674.08,3/3/2025,4.6,Active
208,Acer Gaming Mouse,19,53,Acer,33845.18,42708.95,4/29/2022,4.4,Active
209,Nivea Perfume,5,152,Nivea,23362.04,18689.63,8/12/2024,4.8,Active
210,Lego Building Blocks,9,142,Lego,45004.78,49983.58,12/8/2023,3.7,Active
211,Nestle Green Tea,6,138,Nestle,48662.15,74303.65,1/4/2024,3.2,Actve
212,Penguin Python for Data Analysis,17,14,Penguin,20919.81,25816.94,2/17/2024,4.9,Active
213,Bosch Air Fryer,13,64,Bosch,1786.05,2807.64,6/20/2022,3.9,Active
214,Funskool Action Figure,9,43,Funskool,5741.67,8608.56,6/17/2024,4.5,Active
215,HarperCollins SQL Cookbook,17,85,HarperCollins,7825.15,9066.91,9/23/2022,5,Active
216,Nilkamal Bookshelf,20,174,Nilkamal,34439.2,51201.05,2/28/2021,4.1,Active
217,Hasbro Puzzle Set,9,43,Hasbro,21761.91,26989.04,8/7/2022,4.6,Active
218,Van Heusen Sports Jacket,12,6,Van Heusen,6567.93,10437.43,7/17/2022,3.4,Active
219,Nivea Face Wash,5,147,Nivea,22204.32,35156.01,4/7/2024,4.2,Active
220,Penguin SQL Cookbook,17,39,Penguin,51008.94,60434.62,6/9/2022,3.7,Active
221,Nilkamal Office Chair,20,127,Nilkamal,54988.6,83884.89,1/21/2023,4.5,Active
222,Urban Ladder Bookshelf,11,50,Urban Ladder,4526.09,6557.51,6/27/2023,3.8,Active
223,L'Oréal Lipstick,14,37,L'Oréal,17013.87,19717.03,6/30/2023,3.6,Active
224,Asus Gaming Mouse,19,195,Asus,10182.25,16193.96,11/20/2021,4,Active
225,Nestle Basmati Rice,6,149,Nestle,53178.38,70763.28,5/29/2022,3.6,
226,Whirlpool Mixer Grinder,4,162,Whirlpool,29857.86,36175.46,4/22/2024,3.8,Active
227,Nilkamal Bookshelf,2,17,Nilkamal,12261.09,18946.16,2/9/2022,4.9,Active
228,Maybelline Body Lotion,14,126,Maybelline,22359.56,28368.34,5/12/2024,3.9,Active
229,Mamaearth Perfume,14,62,Mamaearth,13277.79,18415.64,11/5/2024,5,Active
230,L'Oréal Perfume,5,98,L'Oréal,28726.37,42578.74,1/23/2021,5,Active
231,Yonex Football,16,188,Yonex,6547.22,9938.5,5/12/2024,3.4,Active
232,HarperCollins Statistics Essentials,17,145,HarperCollins,9932.76,13735.81,8/15/2024,4.6,Active
233,Nilkamal Study Table,2,46,Nilkamal,55006.64,81871.87,9/15/2023,4.1,Active
234,Fortune Organic Honey,15,84,Fortune,51016.86,78792.43,4/14/2022,4.4,Active
235,Samsung Mechanical Keyboard,1,81,Samsung,27483.94,36886.63,11/27/2023,4.8,Active
236,Whirlpool Mixer Grinder,4,85,Whirlpool,55758.04,74310.58,10/13/2025,4.8,Active
237,Maybelline Lipstick,5,145,Maybelline,55232.21,84780.46,9/13/2021,4.3,Active
238,Acer Inspiron Laptop,1,92,Acer,16572.14,18534.28,3/12/2025,4,Active
239,Whirlpool Air Purifier,4,144,Whirlpool,36132.3,39909.21,5/8/2024,4.6,Active
240,Aashirvaad Olive Oil,15,161,Aashirvaad,56387.54,85959.95,1/13/2024,3.4,Active
241,HarperCollins Power BI Guide,17,19,HarperCollins,8058.69,11857.71,2/14/2024,3.3,Inactive
242,Funskool Action Figure,9,55,Funskool,54578.53,83532.2,4/23/2021,4.2,Active
243,Aashirvaad Organic Honey,6,160,Aashirvaad,50304.24,75261.99,8/31/2022,3.4,Active
244,Hasbro Building Blocks,9,53,Hasbro,4684.31,7058.32,10/12/2024,3.3,Active
245,Urban Ladder Coffee Table,11,179,Urban Ladder,27054.33,35034.53,2/26/2025,3.4,Active
246,LG Inspiron Laptop,19,143,LG,23009.09,30463.78,4/7/2024,4.1,Active
247,Nike Sports Jacket,12,11,Nike,34478.43,49328.26,7/31/2022,3.6,Active
248,Maybelline Body Lotion,5,84,Maybelline,17670.71,20832.23,7/19/2024,4.9,Active
249,Cosco Cricket Bat,16,78,Cosco,6009.74,8636.4,4/16/2021,4.9,Active
250,Nivea Perfume,14,4,Nivea,11197.29,14060.99,10/20/2025,4.5,Active
251,Samsung Inspiron Laptop,19,88,Samsung,7946.54,10813.36,5/5/2021,4.9,Active
252,Whirlpool Microwave Oven,13,70,Whirlpool,3383.73,5084.45,4/29/2021,3.5,Actve
253,IKEA Coffee Table,11,52,IKEA,12918.35,18334.82,9/20/2022,4.9,Active
254,HP Noise Cancelling Headphones,10,104,HP,10097.76,14499.35,8/18/2023,4.1,Active
255,Cosco Yoga Mat,7,188,Cosco,45849.02,56714.21,1/28/2023,4.7,Active
256,Amul Basmati Rice,6,178,Amul,38442.47,55366.78,9/24/2023,3.3,Active
257,IKEA Dining Table,11,108,IKEA,28214.51,36627.73,8/9/2022,3.5,Active
258,Maybelline Lipstick,14,156,Maybelline,52241.47,67073.1,1/29/2021,4.7,Active
259,Godrej Dining Table,11,54,Godrej,36428.19,45123.92,6/6/2021,4,Active
260,Acer Noise Cancelling Headphones,19,6,Acer,23191.37,27108.77,1/4/2024,3.7,Active
261,HarperCollins SQL Cookbook,17,190,HarperCollins,51905.42,72048.33,3/20/2021,4.7,Active
262,Hasbro Remote Control Car,9,16,Hasbro,54999.23,76856.78,5/25/2023,4.5,Active
263,Nestle Basmati Rice,6,166,Nestle,32429.34,46715.13,8/16/2022,4,
264,Bosch Air Purifier,13,161,Bosch,4153.24,4805.64,11/3/2024,3.2,Actve
265,L'Oréal Shampoo,14,8,L'Oréal,30708,37146.79,9/20/2025,4.5,Active
266,Samsung Gaming Mouse,10,166,Samsung,29801.13,34678.87,8/29/2023,5,Active
267,Whirlpool Air Purifier,13,117,Whirlpool,53797.94,59763.65,2/28/2022,4.5,Active
268,Wilson Yoga Mat,16,122,Wilson,40881.81,52216.11,6/20/2022,4.1,Active
269,Samsung Inspiron Laptop,1,107,Samsung,712.85,1117.03,8/30/2023,3.7,Active
270,Maybelline Body Lotion,14,11,Maybelline,8453.6,12807.83,5/15/2024,4.8,Actve
271,Penguin Statistics Essentials,8,55,Penguin,49341.39,63891.67,1/30/2025,4.9,Active
272,JBL Smart Watch,1,60,JBL,52172.55,83148.61,10/28/2023,3.4,Active
273,Lakme Body Lotion,14,57,Lakme,42593.1,34074.48,9/5/2021,4.5,Active
274,Nestle Olive Oil,6,171,Nestle,19856.77,25756.4,3/18/2022,3.3,Active
275,Philips Air Purifier,4,64,Philips,27690.66,36398.8,11/22/2022,3.5,Active
276,Philips Microwave Oven,4,35,Philips,45944.8,69378.51,9/26/2025,4.6,Active
277,Van Heusen Slim Fit Jeans,12,76,Van Heusen,10305.8,16329.14,10/21/2025,4.9,Inactive
278,McGraw Hill Python for Data Analysis,17,52,McGraw Hill,53880.05,77745.08,5/23/2024,4.3,Active
279,Nilkamal Bookshelf,2,111,Nilkamal,46818.97,54563.54,11/20/2024,4.3,Active
280,Penguin Python for Data Analysis,17,25,Penguin,32241.23,46010.09,12/7/2024,3.6,Active
281,Nivia Badminton Racket,7,107,Nivia,24333.19,29444.84,10/1/2025,5,Active
282,IFB Microwave Oven,13,36,IFB,55261.99,78974.6,7/28/2022,3.7,Active
283,Wilson Cricket Bat,7,13,Wilson,27985.59,36281.44,12/29/2024,4.4,Active
284,Philips Mixer Grinder,13,77,Philips,24660.63,33855.4,3/28/2021,3.3,Active
285,Lakme Lipstick,5,154,Lakme,12669.49,18526.44,2/19/2024,4.7,Active
286,Mamaearth Perfume,5,49,Mamaearth,33133.69,52545.36,9/4/2023,4,Active
287,Nivea Perfume,14,178,Nivea,19687.42,24863.32,4/23/2021,4.1,Active
288,Nivia Yoga Mat,7,16,Nivia,54894.23,66916.4,4/17/2022,4.7,Active
289,Durian Wardrobe,11,114,Durian,45941.75,59305.2,6/4/2023,5,
290,Wilson Yoga Mat,16,182,Wilson,10453.08,14193.15,10/29/2024,3.9,Active
291,Penguin Power BI Guide,8,195,Penguin,12417.04,15167.18,3/20/2022,4.1,Active
292,Penguin SQL Cookbook,8,18,Penguin,8455.48,13059.21,9/26/2024,4.4,Active
293,Levi's Formal Shirt,3,196,Levi's,59155.87,82236.98,5/10/2025,4.7,Active
294,Fortune Almonds,15,65,Fortune,30550.85,33773.66,12/3/2024,3.4,Active
